"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Accipiter cooperii",0.671500846996562,0.994005994005994,0.925074925074925,0.925074925074925,0.997002997002997,0.993006993006993,0.954045954045954,0.954045954045954,0.998001998001998,0.00599400599400599,0.051948051948052,0.051948051948052,0.003996003996004,0.011988011988012,0.0579420579420579,0.0579420579420579,0.004995004995005,0.921039524858177,0.0789604751418227,0.0248657074060318,0.928425456789156,0.0715745432108437,0.0248657074060318,-0.224064548549569,0.402635571854852,-0.814008572104659,0.544543556442562,0.606771643221826,0.899904104506043,0.0229473543552751,0.0693757638188186,3.46944695195361e-18,0.00777277731986376
"Accipiter striatus",0.231327544842822,0.648351648351648,0.588411588411588,0.588411588411588,0.704295704295704,0.629370629370629,0.56043956043956,0.56043956043956,0.71028971028971,0.362637362637363,0.425574425574426,0.425574425574426,0.317682317682318,0.314685314685315,0.382617382617383,0.382617382617383,0.254745254745255,0.839122302292772,0.160877697707228,0.46706754444545,0.854386675658574,0.145613324341426,0.439992550404926,1.75975264373296,0.0598518602583236,-0.291390719076529,1.63299489469001,2.58495030930545,0.483528179734794,0.379903512262196,0.0824078226754534,0.0438656112450361,0.010294874082521
"Actitis macularius",0.635046693576995,0.994005994005994,0.864135864135864,0.864135864135864,0.991008991008991,0.996003996003996,0.979020979020979,0.979020979020979,1,0.00699300699300699,0.135864135864136,0.135864135864136,0.010989010989011,0.00599400599400599,0.012987012987013,0.012987012987013,0.000999000999000999,0.978081708084716,0.0219182919152839,0.0695246914513559,0.988707161287397,0.0112928387126027,0.0315484339858573,-0.972052599986347,0.270951786956736,-0.408329237589456,-0.895579207619314,1.2955997030791,0.911469833799615,0.0296921879119637,0.0104106475886138,0.0384124231184794,0.0100149075813279
"Aix sponsa",0.732912519041627,0.997002997002997,0.848151848151848,0.848151848151848,0.995004995004995,0.994005994005994,0.888111888111888,0.888111888111888,1,0.003996003996004,0.164835164835165,0.164835164835165,0.00599400599400599,0.00699300699300699,0.105894105894106,0.105894105894106,0.000999000999000999,0.90125664839186,0.0987433516081396,0.0168184070078925,0.917911056021109,0.0820889439788908,0.0145696287070516,0.991210048818927,0.291451358479971,0.302010501984138,0.873942511533165,0.902381271272026,0.887572944866149,0.0131228026188771,0.0793758014683079,0.00206011286932253,0.0178683381773438
"Ammodramus savannarum",0.740862468678254,0.977022977022977,0.588411588411588,0.588411588411588,0.945054945054945,0.982017982017982,0.616383616383616,0.616383616383616,0.961038961038961,0.017982017982018,0.458541458541459,0.458541458541459,0.0679320679320679,0.023976023976024,0.413586413586414,0.413586413586414,0.0699300699300699,0.922176824348523,0.0778231756514771,0.0271307572818998,0.931606798124178,0.0683932018758217,0.0260473062832533,0.964093513075552,0.301356914285752,-0.503061095127822,0.186522984146673,1.47164176207513,0.899055736557258,0.0240442685634518,0.0660034905410596,0.00102802471132136,0.00986847962690947
"Anas acuta",0.55588688461636,0.904095904095904,0.875124875124875,0.875124875124875,0.916083916083916,0.923076923076923,0.897102897102897,0.897102897102897,0.934065934065934,0.0919080919080919,0.115884115884116,0.115884115884116,0.0779220779220779,0.0869130869130869,0.114885114885115,0.114885114885115,0.0689310689310689,0.79037037370002,0.20962962629998,0.0292905417741415,0.794806389637128,0.205193610362872,0.0258431363460306,1.82869089232274,1.64365086834509,0.57550390892958,1.98296837521022,1.29831197553254,0.771959959025769,0.0204791109308096,0.199295392077046,0.00281429085507046,0.00545124711130512
"Anas platyrhynchos",0.787247128454015,0.996003996003996,0.692307692307692,0.692307692307692,0.999000999000999,0.998001998001998,0.88011988011988,0.88011988011988,1,0.000999000999000999,0.308691308691309,0.308691308691309,0.001998001998002,0.001998001998002,0.110889110889111,0.110889110889111,0.000999000999000999,0.956387784808501,0.0436122151914992,0.026476750834239,0.971074350965931,0.0289256490340686,0.0240580144853035,1.72468787177503,0.51632436793653,0.700217260549164,0.837641978510393,1.07367827589572,0.932142097301975,0.0229783003622139,0.0277659636768467,0.00237301412721249,0.0147406245317523
"Antrostomus carolinensis",0.662619856009322,0.966033966033966,0.938061938061938,0.938061938061938,0.917082917082917,0.963036963036963,0.972027972027972,0.972027972027972,0.924075924075924,0.032967032967033,0.04995004995005,0.04995004995005,0.0649350649350649,0.028971028971029,0.026973026973027,0.026973026973027,0.0539460539460539,0.884162025304509,0.115837974695491,0.0651394715730117,0.908397325470275,0.0916026745297249,0.0651394715730117,-1.349560710356,0.717012861852577,-3.3612458123799,-0.0527400026930338,2.15392581631334,0.832852570921764,0.0580317327755324,0.0839847507762036,0,0.0251309455264997
"Antrostomus vociferus",0.431951014713162,0.829170829170829,0.636363636363636,0.636363636363636,0.769230769230769,0.798201798201798,0.885114885114885,0.885114885114885,0.742257742257742,0.206793206793207,0.38961038961039,0.38961038961039,0.265734265734266,0.181818181818182,0.101898101898102,0.101898101898102,0.240759240759241,0.826979719650239,0.173020280349761,0.216360006536434,0.920703068317804,0.0792969316821958,0.215014072556093,-0.0564329764552294,0.303110151542535,-2.58420244162558,-0.910966808560368,2.80421135688812,0.673257555847644,0.184410756805965,0.0579853160564735,0.00147308066904567,0.0828732906208714
"Aphelocoma californica",0.728297421356257,0.969030969030969,0.863136863136863,0.863136863136863,0.908091908091908,0.964035964035964,0.887112887112887,0.887112887112887,0.924075924075924,0.031968031968032,0.115884115884116,0.115884115884116,0.0819180819180819,0.037962037962038,0.126873126873127,0.126873126873127,0.0859140859140859,0.849525223038498,0.150474776961502,0.197872302350493,0.849525223038498,0.150474776961502,0.181294631810147,-0.356242657840573,-1.40735382179173,-1.74503637064682,-0.817907081495943,1.50870654415479,0.702339729604126,0.155526551591746,0.124404092188553,0.0177296266155755,0
"Archilochus alexandri",0.594322383414385,0.988011988011988,0.974025974025974,0.974025974025974,0.994005994005994,0.985014985014985,0.98001998001998,0.98001998001998,0.995004995004995,0.010989010989011,0.024975024975025,0.024975024975025,0.00999000999000999,0.010989010989011,0.017982017982018,0.017982017982018,0.00699300699300699,0.720031961289918,0.279968038710082,0.182710941047757,0.722209457982095,0.277790542017905,0.182710941047757,0.628462974612455,-1.53841019010756,1.53897040742315,-1.88561131472281,0.974460058769782,0.620199445083078,0.138650117736431,0.23855342533205,5.55111512312578e-17,0.0025970118484416
"Archilochus colubris",0.757224194645102,0.986013986013986,0.846153846153846,0.846153846153846,0.941058941058941,0.989010989010989,0.97002997002997,0.97002997002997,0.986013986013986,0.00999000999000999,0.151848151848152,0.151848151848152,0.043956043956044,0.011988011988012,0.024975024975025,0.024975024975025,0.00799200799200799,0.95807170136896,0.0419282986310399,0.0292568491398471,0.975511640343837,0.0244883596561631,0.0196037656769908,0.101770299723,0.00904892323019178,-0.940056895288893,-0.585144350100253,1.19936214311504,0.931183815926098,0.0186197260765968,0.023375594147046,0.00944485969964812,0.017376004150611
"Ardea alba",0.70098929790673,0.994005994005994,0.97002997002997,0.97002997002997,1,0.996003996003996,1,1,1,0.003996003996004,0.03996003996004,0.03996003996004,0.000999000999000999,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.929352766913125,0.0706472330868747,0.0119365958949185,0.957462044044233,0.0425379559557665,0.00771265456765208,-2.2667003904518,-0.341660999237206,-2.6209895902467,-0.0369728477130945,0.467285466038149,0.919034468744903,0.00714328911461296,0.0408307023724649,0.00395938205135844,0.0290321577166604
"Ardea herodias",0.725480535378052,1,0.846153846153846,0.846153846153846,0.981018981018981,1,1,1,1,0.003996003996004,0.164835164835165,0.164835164835165,0.030969030969031,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.988093183002963,0.0119068169970368,0.0357803735046884,0.997945206189768,0.00205479381023166,0.0309371927164562,0.997329976524339,0.308596303920582,-0.339407590773394,0.747735440572986,1.40702185667632,0.953144908525626,0.0304290160556522,0.00196254889160703,0.00494039553276121,0.00952313099435366
"Baeolophus bicolor",0.749230488076226,0.974025974025974,0.931068931068931,0.931068931068931,0.932067932067932,0.963036963036963,0.999000999000999,0.999000999000999,0.912087912087912,0.025974025974026,0.0699300699300699,0.0699300699300699,0.0779220779220779,0.030969030969031,0.004995004995005,0.004995004995005,0.0879120879120879,0.946822001706295,0.053177998293705,0.0145572264392671,0.968129349392344,0.0318706506076561,0.0145572264392671,-0.0539488652222533,0.0708624172665389,-1.27773072318583,-0.772678072938337,1.48633865404082,0.933761746960348,0.0137937803752028,0.0307392750843126,0,0.0217051975801361
"Bartramia longicauda",0.78574700582397,0.981018981018981,0.835164835164835,0.835164835164835,0.959040959040959,0.983016983016983,0.819180819180819,0.819180819180819,0.957042957042957,0.031968031968032,0.182817182817183,0.182817182817183,0.0559440559440559,0.034965034965035,0.202797202797203,0.202797202797203,0.051948051948052,0.987062255273966,0.012937744726034,0.0798477813960755,0.987062255273966,0.012937744726034,0.0750699031569155,2.11450577234798,0.37526208642321,1.41585809930888,0.943120207546485,0.900317397792916,0.909186759665938,0.0737921300567765,0.0119170053783315,0.00510410489895416,0
"Bombycilla cedrorum",0.666210345049422,0.933066933066933,0.705294705294705,0.705294705294705,0.921078921078921,0.933066933066933,0.78021978021978,0.78021978021978,0.954045954045954,0.0569430569430569,0.275724275724276,0.275724275724276,0.0729270729270729,0.0639360639360639,0.234765234765235,0.234765234765235,0.047952047952048,0.90103808206444,0.0989619179355603,0.0139221333499076,0.91275481134166,0.0872451886583399,0.0104705855331736,-1.34364668688369,-0.872056784564893,0.0831453698622001,-1.08297167121248,1.4422970091499,0.889719530618888,0.00941445934772913,0.0850433734638497,0.00314721997621088,0.0126754165933219
"Bonasa umbellus",0.709408549597015,1,0.997002997002997,0.997002997002997,0.994005994005994,1,1,1,1,0.001998001998002,0.002997002997003,0.002997002997003,0.00699300699300699,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.997044955931011,0.00295504406898948,0.0999611173321861,0.997741500668544,0.00225849933145615,0.082208244718226,-1.07166787291976,-1.11800095532242,-2.66337085314653,-1.06254439685038,1.59266876880924,0.897644382837346,0.080403608628602,0.00203191832470143,0.0192915681057781,0.000628522103572265
"Botaurus lentiginosus",0.806697807251164,0.997002997002997,0.96003996003996,0.96003996003996,1,0.997002997002997,0.963036963036963,0.963036963036963,1,0.002997002997003,0.033966033966034,0.033966033966034,0.000999000999000999,0.002997002997003,0.033966033966034,0.033966033966034,0.000999000999000999,0.952596511950064,0.0474034880499365,0.00524344447656919,0.954163539533567,0.0458364604664332,0.00193708360255038,-3.19605784968363,-0.0927931873434434,-2.58541959550615,-0.832005529298876,0.958808616963864,0.94783721713476,0.00183960339677381,0.0455325542548496,0.00315652534776795,0.00163409986584905
"Branta canadensis",0.557452578263485,0.989010989010989,0.724275724275724,0.724275724275724,0.999000999000999,0.99000999000999,0.766233766233766,0.766233766233766,0.998001998001998,0.00899100899100899,0.293706293706294,0.293706293706294,0.004995004995005,0.023976023976024,0.24975024975025,0.24975024975025,0.002997002997003,0.820636165704137,0.179363834295863,0.00985757648112783,0.836025164881295,0.163974835118705,0.00976886293276456,1.46815068821828,0.402368555868929,-0.136361651838865,0.717635807053369,1.63519212604056,0.813985884449546,0.00803016208714999,0.159652133450456,7.36499705170281e-05,0.018258170042331
"Bubo virginianus",0.704307111143666,0.992007992007992,0.896103896103896,0.896103896103896,0.991008991008991,0.985014985014985,1,1,0.989010989010989,0.014985014985015,0.0999000999000999,0.0999000999000999,0.015984015984016,0.014985014985015,0.000999000999000999,0.000999000999000999,0.00699300699300699,0.929614942089847,0.0703850579101529,0.00358161822434407,0.952678518916548,0.0473214810834517,0.00292203173024398,0.672205782974198,-0.436292397767126,-0.140612727539998,-1.04461749859751,1.01525039243273,0.926518984671809,0.00271525192416247,0.0460220837733054,0.000615113453870525,0.0241285661768528
"Bubulcus ibis",0.674565943972457,0.984015984015984,0.966033966033966,0.966033966033966,0.977022977022977,0.989010989010989,1,1,0.985014985014985,0.016983016983017,0.034965034965035,0.034965034965035,0.023976023976024,0.011988011988012,0.000999000999000999,0.000999000999000999,0.013986013986014,0.85830965486916,0.14169034513084,0.0600434510235129,0.894516722772296,0.105483277227704,0.0582104961310038,-3.68248824807127,-0.804546907228142,-4.40324506696719,-0.990785138945672,0.744429359266702,0.813696365874091,0.0502932650692551,0.0959527722127568,0.00168481620010958,0.0383727806437878
"Buteo jamaicensis",0.83540715594899,0.996003996003996,0.766233766233766,0.766233766233766,0.992007992007992,0.999000999000999,1,1,0.999000999000999,0.002997002997003,0.231768231768232,0.231768231768232,0.00799200799200799,0.002997002997003,0.000999000999000999,0.000999000999000999,0.002997002997003,0.97541596077227,0.0245840392277299,0.00554009032181627,0.989101407438445,0.0108985925615551,0.00421685684732319,0.512749564054896,-0.0333322800967296,-0.268121577746247,0.369065717339719,0.878455399231336,0.970144199751802,0.00410828325398457,0.0106897091436085,0.00129634536855129,0.0137614624820537
