species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Botaurus lentiginosus,0.810274281,0.998001998,0.966033966,0.966033966,1,0.998001998,0.966033966,0.966033966,1,0.002997003,0.030969031,0.030969031,0.001998002,0.000999001,0.025974026,0.025974026,0.000999001,0.950870236,0.049129764,0.004766479,0.952037501,0.047962499,0.000860082,3.196056421,-0.09279154,2.585419254,-0.832000944,0.95880566,0.946559595,0.00081482,0.047686529,0.003718544,0.001220512
Branta canadensis,0.557452334,0.987012987,0.716283716,0.716283716,0.998001998,0.98001998,0.722277722,0.722277722,0.999000999,0.011988012,0.256743257,0.256743257,0.002997003,0.013986014,0.240759241,0.240759241,0.004995005,0.820635439,0.179364561,0.00985763,0.836024756,0.163975244,0.009768915,1.468147798,0.402368453,-0.136361681,0.717640528,1.635190249,0.813985133,0.008030198,0.159652462,7.37E-05,0.018258556
Bubo virginianus,0.704307251,0.986013986,0.899100899,0.899100899,0.987012987,0.989010989,1,1,0.989010989,0.012987013,0.096903097,0.096903097,0.011988012,0.012987013,0.000999001,0.000999001,0.00999001,0.929614621,0.070385379,0.003581646,0.952678268,0.047321732,0.002922054,0.672204011,-0.436292739,-0.140617478,-1.044618395,1.01525311,0.926518642,0.002715272,0.046022323,0.000615118,0.024128645
Buteo jamaicensis,0.8354074,1,0.758241758,0.758241758,0.993006993,0.999000999,1,1,1,0.002997003,0.202797203,0.202797203,0.006993007,0.000999001,0.000999001,0.000999001,0.002997003,0.975415727,0.024584273,0.005540134,0.989101257,0.010898743,0.004216891,0.512750482,-0.033333447,-0.26811931,0.369067123,0.878455378,0.970143927,0.004108316,0.010689856,0.001296354,0.013761547
Buteo lineatus,0.729419226,0.999000999,0.941058941,0.941058941,0.98001998,0.997002997,1,1,0.98001998,0.00999001,0.057942058,0.057942058,0.024975025,0.008991009,0.000999001,0.000999001,0.018981019,0.924196425,0.075803575,0.009330233,0.948848574,0.051151426,0.009330233,-2.249079278,0.47720406,-1.798988341,1.318777604,0.95437303,0.916221468,0.008629071,0.049392533,0,0.025756927
Buteo platypterus,0.706415264,0.999000999,0.895104895,0.895104895,0.978021978,0.999000999,1,1,1,0.005994006,0.106893107,0.106893107,0.024975025,0.005994006,0.000999001,0.000999001,0.000999001,0.933697948,0.066302052,0.041650977,0.983545118,0.016454882,0.013985727,0.568495497,-0.611910336,-0.755937735,-1.172127515,1.438042654,0.897286413,0.012727202,0.015011759,0.026269922,0.048704704
Buteo swainsoni,0.662694303,0.961038961,0.939060939,0.939060939,0.979020979,0.961038961,0.947052947,0.947052947,0.978021978,0.045954046,0.077922078,0.077922078,0.031968032,0.052947053,0.054945055,0.054945055,0.027972028,0.838782037,0.161217963,0.00444339,0.848646139,0.151353861,0.00444339,1.235608918,0.846674239,0.355161138,1.424853319,1.053318252,0.835653625,0.003729707,0.149036679,0,0.011579988
Calamospiza melanocorys,0.778499772,0.992007992,0.979020979,0.979020979,0.988011988,0.977022977,0.965034965,0.965034965,0.974025974,0.013986014,0.026973027,0.026973027,0.016983017,0.017982018,0.02997003,0.02997003,0.01998002,0.952031929,0.047968071,0.071725109,0.952519937,0.047480063,0.071725109,-2.640303318,1.138198303,-2.175690599,2.280874989,1.233521377,0.886798378,0.068520339,0.044204054,0,0.000477228
Callipepla californica,0.660032555,0.982017982,0.909090909,0.909090909,0.936063936,0.981018981,0.912087912,0.912087912,0.976023976,0.030969031,0.098901099,0.098901099,0.078921079,0.023976024,0.094905095,0.094905095,0.021978022,0.947303168,0.052696832,0.245592868,0.947303168,0.052696832,0.198222003,-1.32423173,0.965324996,-2.330617835,-0.745650806,1.985006596,0.724022541,0.178998674,0.040276118,0.056702667,0
Cardellina canadensis,0.665853097,0.963036963,0.875124875,0.875124875,0.983016983,0.965034965,0.977022977,0.977022977,1,0.041958042,0.13986014,0.13986014,0.014985015,0.034965035,0.033966034,0.033966034,0.000999001,0.768670707,0.231329293,0.042747371,0.881621904,0.118378096,0.00697452,-0.80343015,-1.961637052,-0.068035782,-2.03341446,0.738888945,0.743160965,0.005219595,0.099786518,0.027967232,0.123865689
