"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Accipiter cooperii",452765.321269491,309125.88347781,321148.969954517,249894.814587914,144330.119709318,-59231.0688898961,-131616.351314974,-110.60960816806,149,230,0.822319164193253,0.991008991008991,0.86013986013986,0.86013986013986,1,0.991008991008991,0.867132867132867,0.867132867132867,1,0.00899100899100899,0.135864135864136,0.135864135864136,0.001998001998002,0.00699300699300699,0.117882117882118,0.117882117882118,0.001998001998002,0.965572862196781,0.0344271378032193,0.00661751523400192,0.965572862196781,0.0344271378032193,0.00661751523400192,0.959401741999776,0.00639114917020813,0.0342071088300157
"Accipiter striatus",513202.856452109,539560.103169316,399650.190926658,543386.774524526,113617.125740778,3826.67135520908,-113552.665525451,-84.3205688184815,72,42,0.846076732186782,0.994005994005994,0.993006993006993,0.993006993006993,1,1,0.993006993006993,0.993006993006993,1,0.002997002997003,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.001998001998002,0.015984015984016,0.015984015984016,0.000999000999000999,0.991100306372051,0.00889969362794894,0.0654354001544117,0.991100306372051,0.00889969362794894,0.0654354001544117,0.926786980276121,0.0648908346435193,0.00832218508035973
"Actitis macularius",-595703.483260297,836638.988104069,-732161.608511102,855093.951081527,137700.419772286,18454.9629774581,-136458.125250805,-86.7690763152465,133,113,0.83339072305287,1,0.983016983016983,0.983016983016983,1,1,0.979020979020979,0.979020979020979,1,0.001998001998002,0.015984015984016,0.015984015984016,0.001998001998002,0.000999000999000999,0.020979020979021,0.020979020979021,0.000999000999000999,0.998533453265684,0.0014665467343164,0.0451959325001988,0.998533453265684,0.0014665467343164,0.0451959325001988,0.953467000362084,0.045132642032383,0.00140035760553274
"Aechmophorus occidentalis",-1161732.83204103,715169.934888347,-1194710.94817872,727232.870022533,35115.1042721305,12062.9351341856,-32978.1161376908,-78.6905018268359,31,28,0.929314680470569,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.993772855199757,0.00622714480024321,0.0170079344429271,0.993772855199757,0.00622714480024321,0.0170079344429271,0.976974303826362,0.0169038138700402,0.00612188230359811
"Aeronautes saxatalis",-1308816.37299863,161745.433666744,-1406803.81593381,239569.974672797,125132.722162422,77824.5410060524,-97987.4429351804,-61.113776274836,47,37,0.789066443074551,0.998001998001998,0.989010989010989,0.989010989010989,0.998001998001998,0.997002997002997,0.984015984015984,0.984015984015984,0.999000999000999,0.001998001998002,0.013986013986014,0.013986013986014,0.001998001998002,0.004995004995005,0.016983016983017,0.016983016983017,0.003996003996004,0.991092508612047,0.008907491387953,0.136010306551544,0.991092508612047,0.008907491387953,0.136010306551544,0.857332379990255,0.13496230418401,0.00770531582573564
"Aimophila ruficeps",-974390.462177674,-377121.349488064,-1046999.85786768,-381785.901520583,72759.0708306009,-4664.55203251948,-72609.3956900091,-99.9451594171826,34,37,0.843331073928725,0.999000999000999,1,1,1,0.999000999000999,1,1,1,0.000999000999000999,0.043956043956044,0.043956043956044,0.000999000999000999,0.001998001998002,0.044955044955045,0.044955044955045,0.000999000999000999,1,0,0.171871889424045,1,0,0.171871889424045,0.828128110575955,0.171871889424045,0
"Aix sponsa",662381.255851637,355948.798535504,762334.094456036,351109.462136925,100069.921164432,-4839.33639857837,99952.8386043995,97.362556859189,318,273,0.897129701932596,0.998001998001998,0.98001998001998,0.98001998001998,1,1,0.979020979020979,0.979020979020979,1,0.000999000999000999,0.033966033966034,0.033966033966034,0.000999000999000999,0.000999000999000999,0.015984015984016,0.015984015984016,0.000999000999000999,0.989544188865117,0.0104558111348831,0.0162357028059543,0.989544188865117,0.0104558111348831,0.0162357028059543,0.973643526736039,0.0160686731406248,0.0102878001233365
"Ammodramus savannarum",419267.119844928,374414.026997598,348049.835844599,349941.866012668,75304.6360037408,-24472.1609849294,-71217.2840003295,-105.661767818607,368,296,0.878735490977881,0.996003996003996,0.993006993006993,0.993006993006993,1,0.998001998001998,0.997002997002997,0.997002997002997,1,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.002997002997003,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.997028033073183,0.00297196692681737,0.00560257899731427,0.997028033073183,0.00297196692681737,0.00560257899731427,0.991458613214945,0.00558602132888011,0.00295536545617544
"Amphispiza bilineata",-1310271.68500951,-124310.408257021,-1204030.35185074,-169787.475693786,115565.498891329,-45477.0674367643,106241.333158774,104.125314373099,74,78,0.900932396089264,1,0.996003996003996,0.996003996003996,0.998001998001998,0.999000999000999,0.997002997002997,0.997002997002997,0.998001998001998,0.001998001998002,0.00599400599400599,0.00599400599400599,0.002997002997003,0.003996003996004,0.00999000999000999,0.00999000999000999,0.00599400599400599,0.968638164327135,0.031361835672865,0.054899001796417,0.968638164327135,0.031361835672865,0.054899001796417,0.917039794113208,0.0532689833151168,0.0296912225716757
"Anas acuta",-838906.103749413,818809.680419066,-975015.126185905,826046.303408815,136301.26448758,7236.62298974954,-136109.022436492,-93.2316503991324,72,63,0.859032439495655,1,0.999000999000999,0.999000999000999,1,0.999000999000999,0.995004995004995,0.995004995004995,0.999000999000999,0.001998001998002,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.001998001998002,0.00999000999000999,0.00999000999000999,0.001998001998002,0.998946426889473,0.00105357311052733,0.106307634440314,0.998946426889473,0.00105357311052733,0.106307634440314,0.892850797161629,0.106207527122556,0.000941675715815402
