"species","niche_breadth_zcor"
"Regulus calendula",6.7039501996637
"Regulus satrapa",6.73087329135446
"Riparia riparia",6.88745426061107
"Salpinctes obsoletus",5.97972643406316
"Sayornis nigricans",6.95684760772373
"Sayornis phoebe",5.98545817768443
"Sayornis saya",6.62897525945244
"Seiurus aurocapilla",5.81926377388232
"Selasphorus rufus",6.52852064023131
"Setophaga americana",5.8839369189738
"Setophaga caerulescens",5.08129045663648
"Setophaga cerulea",5.02621595204052
"Setophaga citrina",5.08096036017276
"Setophaga coronata audoboni",6.555517061447
"Setophaga discolor",5.04699340605368
"Setophaga dominica",5.11931028665237
"Setophaga fusca",5.3727382865682
"Setophaga magnolia",5.35483647194085
"Setophaga nigrescens",5.99323981694092
"Setophaga pensylvanica",5.39919676936597
"Setophaga petechia",7.20316461958747
"Setophaga pinus",5.71556729687407
"Setophaga ruticilla",6.299950222061
"Setophaga virens",5.73096592216044
"Sialia currucoides",5.67676580660153
"Sialia mexicana",5.88077829953378
"Sialia sialis",6.24470392923856
"Sitta canadensis",6.67536331039527
"Sitta carolinensis",6.26633821162518
"Sitta pusilla",4.5192887375399
"Spatula clypeata",6.81837409332594
"Spatula cyanoptera",6.91808736326081
"Spatula discors",6.56392824191645
"Sphyrapicus nuchalis",5.26513647461918
"Sphyrapicus varius",5.49317174224211
"Spinus pinus",6.74528437753196
"Spinus psaltria",6.71253926302462
"Spinus tristis",6.1427728006304
"Spiza americana",5.68544320961401
"Spizella breweri",5.90186137149358
"Spizella pallida",5.11049455104746
"Spizella passerina",6.9484780154777
"Spizella pusilla",5.6811651904983
"Stelgidopteryx serripennis",6.56966405269818
"Strix varia",6.26150308631227
"Sturnella magna",6.98368251561475
"Sturnella neglecta",6.03753312816836
"Tachycineta bicolor",6.71388144039334
"Tachycineta thalassina",6.76650659780311
"Thryomanes bewickii",5.92821583011916
"Thryothorus ludovicianus",5.54108989077526
"Toxostoma rufum",5.94071298978963
"Tringa semipalmata",6.18477933270555
"Troglodytes hiemalis",5.46212576174632
"Troglodytes pacificus",6.45499637723773
"Turdus migratorius",6.99454756619348
"Tyrannus forficatus",5.38856393148824
"Tyrannus tyrannus",6.27201472039878
"Tyrannus verticalis",5.66964382868853
"Vermivora chrysoptera",4.95705797404832
"Vermivora cyanoptera",4.82291400028554
"Vireo bellii",5.59738416116284
"Vireo cassinii",6.31918132889202
"Vireo flavifrons",5.53872816940749
"Vireo gilvus",6.71895441683832
"Vireo griseus",5.50961911867672
"Vireo huttoni",6.21715639449042
"Vireo olivaceus",6.28512548112485
"Vireo plumbeus",6.03381381838991
"Vireo solitarius",5.45729672838488
"Xanthocephalus xanthocephalus",5.28386600192382
