species,niche_breadth_zcor
Sphyrapicus varius,5.493171742
Spinus pinus,6.745284378
Spinus psaltria,6.712539263
Spinus tristis,6.142772801
Spiza americana,5.68544321
Spizella breweri,5.901861371
Spizella pallida,5.110494551
Spizella passerina,6.948478015
Spizella pusilla,5.68116519
Stelgidopteryx serripennis,6.569664053
Strix varia,6.261503086
Sturnella magna,6.983682516
Sturnella neglecta,6.037533128
Tachycineta bicolor,6.71388144
Tachycineta thalassina,6.766506598
Thryomanes bewickii,5.92821583
Thryothorus ludovicianus,5.541089891
Toxostoma rufum,5.94071299
Tringa semipalmata,6.184779333
Troglodytes hiemalis,5.462125762
Troglodytes pacificus,6.454996377
Turdus migratorius,6.994547566
Tyrannus forficatus,5.388563931
Tyrannus tyrannus,6.27201472
Tyrannus verticalis,5.669643829
Vermivora chrysoptera,4.957057974
Vermivora cyanoptera,4.822914
Vireo bellii,5.597384161
Vireo cassinii,6.319181329
Vireo flavifrons,5.538728169
Vireo gilvus,6.718954417
Vireo griseus,5.509619119
Vireo huttoni,6.217156394
Vireo olivaceus,6.285125481
Vireo plumbeus,6.033813818
Vireo solitarius,5.457296728
Xanthocephalus xanthocephalus,5.283866002
