"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Corvus ossifragus",1251964.91404821,-126774.615303497,1220810.4901396,-62047.8754070732,71834.1770099458,64726.7398964241,-31154.4239086022,-17.5747758328486,151,181,0.898271957698279,0.997002997002997,0.962037962037962,0.962037962037962,1,0.994005994005994,0.966033966033966,0.966033966033966,1,0.004995004995005,0.038961038961039,0.038961038961039,0.001998001998002,0.004995004995005,0.0529470529470529,0.0529470529470529,0.001998001998002,0.956411445464952,0.0435885545350474,0.000395376810172602,0.956411445464952,0.0435885545350474,0.000395376810172602,0.95604977902821,0.000378149423511231,0.0435720715482783
"Cyanocitta cristata",902464.960980359,280057.662378672,925410.135346544,276937.43507513,23156.3564733401,-3120.22730354185,22945.174366185,103.889253669819,635,624,0.95475867848,1,1,1,1,1,1,1,1,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.001998001998002,0.011988011988012,0.011988011988012,0.001998001998002,1,0,0.0115284137636123,1,0,0.0115284137636123,0.988471586236388,0.0115284137636123,0
"Cyanocitta stelleri",-1699124.42090301,726770.552898824,-1722120.11804072,745879.835901494,29899.2773110955,19109.2830026703,-22995.6971377179,-63.1745077170647,95,89,0.957613961188013,1,0.996003996003996,0.996003996003996,1,1,0.996003996003996,0.996003996003996,1,0.000999000999000999,0.004995004995005,0.004995004995005,0.000999000999000999,0.000999000999000999,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.994215156360412,0.00578484363958832,0.0105480802037714,0.994651818705575,0.00534818129442527,0.0105480802037714,0.983788124913674,0.0104877011580759,0.00572417392825012
"Dolichonyx oryzivorus",753940.130811509,739245.388264075,661443.719647907,756727.687445853,94134.036686138,17482.2991817781,-92496.4111636012,-73.6856280651514,287,257,0.920037380334824,1,0.96003996003996,0.96003996003996,1,1,0.959040959040959,0.959040959040959,1,0.000999000999000999,0.026973026973027,0.026973026973027,0.000999000999000999,0.000999000999000999,0.042957042957043,0.042957042957043,0.000999000999000999,0.998015985287734,0.00198401471226607,0.0026992202194745,0.998015985287734,0.00198401471226607,0.00261928836934179,0.995327450630644,0.00269387935335966,0.00197867001599593
"Dryobates pubescens",730079.860049326,320352.11154695,749372.257259911,312333.152204346,20892.5895730826,-8018.95934260346,19292.3972105841,117.35256146984,635,629,0.964899052336179,1,0.973026973026973,0.973026973026973,1,1,0.964035964035964,0.964035964035964,1,0.001998001998002,0.025974025974026,0.025974025974026,0.001998001998002,0.000999000999000999,0.020979020979021,0.020979020979021,0.000999000999000999,0.999822958079159,0.000177041920840785,0.00178090090817534,0.999822958079159,0.000177041920840785,0.00178090090817534,0.99804268714209,0.00178058617546608,0.000176726682444058
"Dryobates scalaris",-784837.175400058,-541229.144732337,-831505.840085528,-498677.934496187,63155.1245433483,42551.2102361496,-46668.6646854699,-53.0280468759549,53,59,0.903940440078572,1,0.961038961038961,0.961038961038961,1,1,0.965034965034965,0.965034965034965,1,0.000999000999000999,0.031968031968032,0.031968031968032,0.000999000999000999,0.000999000999000999,0.030969030969031,0.030969030969031,0.000999000999000999,0.955254060133514,0.0447459398664865,0.00618699070971533,0.955254060133514,0.0447459398664865,0.00618699070971533,0.949606803863103,0.00591178462996693,0.0444814115069304
"Dryobates villosus",484970.942153963,511017.931426023,503455.902745301,528817.427788653,25661.5634524992,17799.4963626307,18484.9605913385,50.0267983137416,426,438,0.88892163240103,1,0.796203796203796,0.796203796203796,1,1,0.834165834165834,0.834165834165834,1,0.000999000999000999,0.196803196803197,0.196803196803197,0.000999000999000999,0.000999000999000999,0.193806193806194,0.193806193806194,0.000999000999000999,0.99461781887404,0.00538218112596049,0.0115179691249394,0.99461781887404,0.00538218112596049,0.00115524462532126,0.983222793291991,0.0114566875495436,0.00532051915846531
"Dryocopus pileatus",820605.145489881,292329.129643179,806211.569488711,324417.843620332,35169.028914785,32088.7139771528,-14393.5760011702,-18.6369923446711,417,511,0.936812626310355,1,0.994005994005994,0.994005994005994,1,1,0.997002997002997,0.997002997002997,1,0.001998001998002,0.004995004995005,0.004995004995005,0.000999000999000999,0.001998001998002,0.00699300699300699,0.00699300699300699,0.001998001998002,0.987307710805059,0.0126922891949415,0,0.987307710805059,0.0126922891949415,0,0.987307710805059,0,0.0126922891949415
"Dumetella carolinensis",857898.444814178,440508.425128979,807199.155177181,463672.655829725,55740.4660336954,23164.2307007465,-50699.2896369974,-59.6220929716283,570,557,0.935346450948788,1,0.865134865134865,0.865134865134865,1,1,0.872127872127872,0.872127872127872,1,0.000999000999000999,0.151848151848152,0.151848151848152,0.000999000999000999,0.000999000999000999,0.143856143856144,0.143856143856144,0.000999000999000999,0.996552018710048,0.00344798128995245,0.000874109451882556,0.996552018710048,0.00344798128995245,0.000874109451882556,0.995683924075958,0.000871098164261207,0.00344497775978036
"Egretta thula",292809.383576681,-333652.365561752,334693.983539997,-358520.717417345,48710.9293495887,-24868.3518555927,41884.5999633166,122.235146778839,49,46,0.768113321756736,0.996003996003996,0.999000999000999,0.999000999000999,1,0.992007992007992,0.985014985014985,0.985014985014985,1,0.00899100899100899,0.00899100899100899,0.00899100899100899,0.002997002997003,0.00899100899100899,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.877515237949736,0.122484762050264,0,0.879428331773473,0.120571668226527,0,0.877515237949736,0,0.122484762050264
"Empidonax alnorum",1138085.79979008,863106.744088958,1180564.06677659,901989.448967007,57587.0463282359,38882.7048780491,42478.2669865065,56.2985560518899,132,120,0.876980308085554,1,0.975024975024975,0.975024975024975,1,1,0.979020979020979,0.979020979020979,1,0.000999000999000999,0.027972027972028,0.027972027972028,0.000999000999000999,0.000999000999000999,0.037962037962038,0.037962037962038,0.000999000999000999,0.999680197604283,0.00031980239571726,0.0531277618299202,0.999680197604283,0.00031980239571726,0.0411551934068112,0.946585509012593,0.0531116738322215,0.000302817155185162
