"species","stability"
"Myiarchus crinitus",0.997595740984639
"Nucifraga columbiana",0.957468703031072
"Numenius americanus",0.991067891461088
"Nyctanassa violacea",0.449024298348491
"Nycticorax nycticorax",0.632281769306502
"Oreortyx pictus",0.908867880243195
"Oreoscoptes montanus",0.998013470720318
"Oxyura jamaicensis",0.858931223472038
"Pandion haliaetus",0.828611953823087
"Parkesia motacilla",1
"Parkesia noveboracensis",0.906171617178829
"Passer domesticus",0.869515429821335
"Passerculus sandwichensis",0.911493016276851
"Passerina amoena",0.995027655015093
"Passerina caerulea",0.86181686404539
"Passerina ciris",0.98536848489243
"Passerina cyanea",0.999955159757403
"Patagioenas fasciata",0.660699020586985
"Pelecanus erythrorhynchos",0.999821400616188
"Perdix perdix",0.979158341802861
"Perisoreus canadensis",0.945974200271248
"Petrochelidon pyrrhonota",0.893430156162986
"Peucaea aestivalis",1
"Peucaea cassinii",0.886380505855424
"Phainopepla nitens",0.783618812154781
"Phalacrocorax auritus",0.881922597021822
"Phalaenoptilus nuttallii",0.888791794853056
"Phalaropus tricolor",0.987881174502285
"Phasianus colchicus",0.851336715762121
"Pheucticus ludovicianus",0.951128084611221
"Pheucticus melanocephalus",0.859640964577696
"Pica hudsonia",0.912767110986811
"Pipilo chlorurus",1
"Pipilo erythrophthalmus",0.997647542336575
"Pipilo maculatus",0.85736869879426
"Piranga ludoviciana",0.925957128738501
"Piranga olivacea",0.986648010519626
"Piranga rubra",0.940246733385952
"Podiceps nigricollis",0.941899594614035
"Podilymbus podiceps",0.82311694023504
"Poecile atricapillus",0.938581726383409
"Poecile carolinensis",0.999271958743865
"Poecile gambeli",0.911400210277764
"Poecile rufescens",0.613910427701307
"Polioptila caerulea",0.858323583201303
"Polioptila melanura",0.744685699723993
"Pooecetes gramineus",0.992868199640684
"Porzana carolina",0.972286964456592
"Progne subis",0.960405036095016
"Protonotaria citrea",0.999751035662194
"Psaltriparus minimus",0.754645732847615
"Quiscalus major",0.993800097568345
"Quiscalus mexicanus",0.619910050006469
"Quiscalus quiscula",0.999412990921328
"Rallus limicola",0.961336859719167
"Recurvirostra americana",0.960088871224586
"Regulus calendula",0.906714953199222
"Regulus satrapa",0.885877891913665
"Riparia riparia",0.932254452991061
"Salpinctes obsoletus",0.869584253078423
"Sayornis nigricans",0.465554183735183
"Sayornis phoebe",0.994456708758804
"Sayornis saya",0.872078402526674
"Seiurus aurocapilla",0.981606546683684
"Selasphorus platycercus",0.68829088789979
"Selasphorus rufus",0.771082372811624
"Setophaga americana",0.998272245698434
"Setophaga caerulescens",0.942800077557302
"Setophaga cerulea",0.999979799331047
"Setophaga citrina",0.997998622108276
"Setophaga coronata audoboni",0.856846032331333
"Setophaga coronata coronata",0.870661449621092
"Setophaga discolor",0.999729322987079
"Setophaga dominica",1
"Setophaga fusca",0.908763862532842
"Setophaga magnolia",0.767419465944023
"Setophaga nigrescens",0.941291871007705
"Setophaga pensylvanica",0.9121431552283
"Setophaga petechia",0.842805793372976
"Setophaga pinus",0.969303458575165
"Setophaga ruticilla",0.985168553938715
"Setophaga townsendi",0.441485321061493
"Setophaga virens",0.808503172086162
"Sialia currucoides",0.951674993391701
"Sialia mexicana",0.825187031070879
"Sialia sialis",0.862196398538962
"Sitta canadensis",0.923414617740959
"Sitta carolinensis",0.942978516327604
"Sitta pusilla",0.998844307541596
"Sitta pygmaea",0.850867208324572
"Spatula clypeata",0.939235910175025
"Spatula cyanoptera",0.769152680291096
"Spatula discors",0.972557460469711
"Sphyrapicus nuchalis",0.96985686957001
"Sphyrapicus ruber",0.728987990219075
"Sphyrapicus varius",0.91014880015299
"Spinus pinus",0.857686606911095
"Spinus psaltria",0.64644848279705
"Spinus tristis",0.987951063653603
"Spiza americana",0.999899355984436
"Spizella breweri",0.938993546333695
"Spizella pallida",0.98371876784502
"Spizella passerina",0.903110749001464
"Spizella pusilla",0.999966935698774
"Stelgidopteryx serripennis",0.89095804354293
"Sterna forsteri",0.999921633989522
"Strix varia",0.948540568362985
"Sturnella magna",0.683197974566538
"Sturnella neglecta",0.951118073755293
"Sturnus vulgaris",0.973267662422438
"Tachycineta bicolor",0.946081165960238
"Tachycineta thalassina",0.770945478857004
"Thryomanes bewickii",0.867724563678936
"Thryothorus ludovicianus",0.969964957951236
"Toxostoma curvirostre",0.608801784662695
"Toxostoma rufum",0.999981866545772
"Tringa semipalmata",0.95625671572074
"Troglodytes aedon",0.681773755397602
"Troglodytes hiemalis",0.80097798963728
"Troglodytes pacificus",0.713295379264075
"Turdus migratorius",0.93193525364777
"Tympanuchus phasianellus",0.917470130206532
"Tyrannus forficatus",0.986470687842434
"Tyrannus tyrannus",0.994719252550853
"Tyrannus verticalis",0.971280352860288
"Tyrannus vociferans",0.681379844198568
"Vermivora chrysoptera",0.993943881134661
"Vermivora cyanoptera",0.99963995201201
"Vireo bellii",0.908467084380542
"Vireo cassinii",0.97149533650971
"Vireo flavifrons",0.999531847222804
"Vireo gilvus",0.929326573482448
"Vireo griseus",0.958152881555303
"Vireo huttoni",0.62192219858192
"Vireo olivaceus",0.996703405767013
"Vireo plumbeus",0.608756946366517
"Vireo solitarius",0.782318738141527
"Xanthocephalus xanthocephalus",0.989195456472433
"Zenaida asiatica",0.47837295078685
"Zonotrichia albicollis",0.77944036935994
"Zonotrichia leucophrys",0.77757691757396
