species,stability,PCA_percent
Parkesia noveboracensis,0.441154596,0.725616148
Passerculus sandwichensis,0.545187291,0.714511988
Passerina amoena,0.990265061,0.673023293
Passerina caerulea,0.904248161,0.664333096
Passerina ciris,0.998632946,0.734305793
Passerina cyanea,0.972279923,0.777868012
Patagioenas fasciata,0.766279921,0.714329079
Pelecanus erythrorhynchos,0.902835738,0.654203319
Perisoreus canadensis,0.520098937,0.72773039
Petrochelidon pyrrhonota,0.820045057,0.696243619
Peucaea cassinii,0.996283124,0.674216035
Phalacrocorax auritus,0.835243499,0.740562489
Phalaropus tricolor,0.918440966,0.674930726
Pheucticus ludovicianus,0.879898353,0.754649579
Pheucticus melanocephalus,0.920623962,0.686791477
Pica hudsonia,0.747254469,0.723799273
Pipilo chlorurus,0.999431155,0.667382156
Pipilo erythrophthalmus,0.988269174,0.734969605
Pipilo maculatus,0.92457021,0.69311149
Piranga ludoviciana,0.827564283,0.741491199
Piranga olivacea,0.97155445,0.772231723
Piranga rubra,0.988634798,0.725802427
Podilymbus podiceps,0.778301171,0.693256037
Poecile atricapillus,0.70094192,0.707311645
Poecile carolinensis,0.999341736,0.691074819
Poecile gambeli,0.906600951,0.760691871
Poecile rufescens,0.621295779,0.815966
Polioptila caerulea,0.868621398,0.665357181
Pooecetes gramineus,0.953391899,0.672976998
Porzana carolina,0.777024824,0.703561189
Progne subis,0.971902961,0.695197725
Protonotaria citrea,0.994929427,0.687880145
Psaltriparus minimus,0.836448991,0.663448474
Quiscalus major,0.99385309,0.75410043
Quiscalus mexicanus,0.724117063,0.686110324
Quiscalus quiscula,0.887921685,0.792907793
Recurvirostra americana,0.97417011,0.598067813
Regulus calendula,0.538701915,0.772946531
Regulus satrapa,0.702219634,0.721253101
Riparia riparia,0.559809233,0.710825273
Salpinctes obsoletus,0.878421953,0.662820262
Sayornis nigricans,0.571739634,0.712484697
Sayornis phoebe,0.807141979,0.810112363
Sayornis saya,0.653460316,0.75356121
Seiurus aurocapilla,0.878861595,0.770306334
Selasphorus rufus,0.612760507,0.803045622
Setophaga americana,0.941006151,0.73253353
Setophaga caerulescens,0.933793204,0.694853081
Setophaga cerulea,0.997051925,0.755259049
Setophaga citrina,0.995352681,0.654332105
Setophaga coronata audoboni,0.874237333,0.753882682
Setophaga coronata coronata,0.316118469,0.744777438
Setophaga discolor,0.996365154,0.66781355
