species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_routes_hist,n_routes_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Vireo bellii,-63198.49054,-58133.93846,16250.6318,-37022.64187,82206.14262,21111.29659,79449.12234,74.96151218,47,74,0.786988978,0.995004995,1,1,1,0.991008991,0.995004995,0.995004995,0.996003996,0.003996004,0.000999001,0.000999001,0.000999001,0.005994006,0.000999001,0.000999001,0.000999001,0.990640952,0.009359048,0.066979799,0.990640952,0.009359048,0.066979799,0.92486779,0.066394552,0.008737658
Vireo cassinii,-1970231.951,922578.0875,-1958326.107,898560.3549,26806.72672,-24017.7326,11905.84386,138.4329508,43,47,0.920544118,0.997002997,0.979020979,0.979020979,1,0.996003996,0.978021978,0.978021978,1,0.001998002,0.012987013,0.012987013,0.000999001,0.001998002,0.018981019,0.018981019,0.000999001,0.975766905,0.024233095,0.019487785,0.975766905,0.024233095,0.019487785,0.957203408,0.01902452,0.023772072
Vireo flavifrons,1044180.125,216234.3322,992306.7315,163780.7469,73771.45524,-52453.58536,-51873.39387,-127.4341145,278,328,0.897871523,1,0.904095904,0.904095904,1,1,0.922077922,0.922077922,1,0.000999001,0.090909091,0.090909091,0.000999001,0.000999001,0.098901099,0.098901099,0.000999001,0.987066784,0.012933216,0.007937972,0.987066784,0.012933216,0.007898048,0.979332017,0.007836113,0.012831869
Vireo gilvus,235577.2224,623462.8366,240112.3502,610610.2652,13629.23234,-12852.57134,4535.127795,162.1289433,376,404,0.943946979,1,0.94005994,0.94005994,1,1,0.978021978,0.978021978,1,0.000999001,0.047952048,0.047952048,0.000999001,0.001998002,0.01998002,0.01998002,0.000999001,0.998447725,0.001552275,0.001531766,0.999127666,0.000872334,0.001196977,0.996920707,0.001529392,0.001549901
Vireo griseus,985038.0486,-156337.3554,879930.6948,-201784.0946,114511.8418,-45446.73923,-105107.3538,-106.4869214,230,253,0.830264195,0.992007992,0.919080919,0.919080919,1,0.977022977,0.894105894,0.894105894,1,0.022977023,0.110889111,0.110889111,0.000999001,0.014985015,0.104895105,0.104895105,0.000999001,0.969728238,0.030271762,0.000364506,0.969728238,0.030271762,0.000364506,0.969385463,0.000353475,0.030261062
Vireo huttoni,-2072452.362,589407.4264,-2043199.858,610989.8789,36352.59638,21582.45245,29252.50433,39.0603851,24,35,0.792270895,1,0.958041958,0.958041958,1,0.998001998,0.957042957,0.957042957,1,0.000999001,0.052947053,0.052947053,0.000999001,0.003996004,0.047952048,0.047952048,0.000999001,0.910407466,0.089592534,0.000407397,0.916561782,0.083438218,0,0.910069786,0.000370911,0.089559304
Vireo olivaceus,943742.8932,341144.7438,923481.3807,310548.3456,36696.9818,-30596.39823,-20261.51249,-139.2214148,458,485,0.898126706,1,0.905094905,0.905094905,1,1,0.905094905,0.905094905,1,0.001998002,0.088911089,0.088911089,0.000999001,0.002997003,0.087912088,0.087912088,0.000999001,0.989564255,0.010435745,0.023676584,0.989564255,0.010435745,0.023676584,0.966373528,0.023435292,0.010191181
Vireo plumbeus,-1161741.492,316237.6502,-1118311.094,183725.8053,139447.4398,-132511.8449,43430.39756,153.1509919,23,22,0.821816246,0.994005994,0.994005994,0.994005994,0.994005994,0.996003996,0.996003996,0.996003996,0.996003996,0.002997003,0.002997003,0.002997003,0.008991009,0.004995005,0.002997003,0.002997003,0.006993007,0.946653622,0.053346378,0.178733059,0.946653622,0.053346378,0.178733059,0.784939535,0.170827093,0.044233371
Vireo solitarius,1493785.593,699184.7238,1410653.944,680651.9455,85172.38366,-18532.77832,-83131.64901,-91.42003079,93,110,0.920214901,1,0.877122877,0.877122877,1,0.999000999,0.843156843,0.843156843,1,0.001998002,0.116883117,0.116883117,0.000999001,0.001998002,0.130869131,0.130869131,0.000999001,0.986878725,0.013121275,0.003722156,0.986878725,0.013121275,0.003612281,0.98325343,0.003673496,0.013073074
Xanthocephalus xanthocephalus,-758667.3797,780493.6439,-849822.311,821880.6132,100110.4526,41386.96936,-91154.93126,-71.37212041,106,82,0.896136482,0.999000999,0.998001998,0.998001998,1,1,0.999000999,0.999000999,1,0.001998002,0.001998002,0.001998002,0.001998002,0.000999001,0.001998002,0.001998002,0.000999001,0.998024433,0.001975567,0.030289165,0.998024433,0.001975567,0.030099064,0.967853021,0.030231136,0.001915843
