species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Accipiter cooperii,0.629725023,0.98001998,0.933066933,0.933066933,0.967032967,0.98001998,0.934065934,0.934065934,0.967032967,0.02997003,0.061938062,0.061938062,0.034965035,0.01998002,0.048951049,0.048951049,0.021978022,0.857727836,0.142272164,0.025963482,0.859545843,0.140454157,0.024122186,0.136972369,0.390362632,0.850346773,0.714575668,0.783592454,0.83855576,0.020727798,0.137024271,0.00162437,0.002067802
Accipiter striatus,0.640254153,0.935064935,0.844155844,0.844155844,0.941058941,0.943056943,0.935064935,0.935064935,0.947052947,0.062937063,0.158841159,0.158841159,0.055944056,0.070929071,0.071928072,0.071928072,0.054945055,0.954683322,0.045316678,0.122537378,0.967575608,0.032424392,0.119290954,-0.7885804,-1.09442582,0.127771508,-1.895901945,1.217400838,0.842376638,0.114098876,0.028228854,0.003538755,0.011756877
Actitis macularius,0.643353939,0.993006993,0.939060939,0.939060939,0.989010989,0.996003996,0.945054945,0.945054945,0.999000999,0.002997003,0.065934066,0.065934066,0.010989011,0.003996004,0.061938062,0.061938062,0.003996004,0.965548861,0.034451139,0.033648915,0.966172169,0.033827831,0.032177253,-2.092831013,-0.103106175,-1.485551521,-0.725699579,0.869718878,0.934142088,0.03105747,0.032706386,0.001469909,0.000624147
Aix sponsa,0.761987241,0.987012987,0.794205794,0.794205794,0.963036963,0.984015984,0.941058941,0.941058941,0.978021978,0.013986014,0.204795205,0.204795205,0.034965035,0.015984016,0.075924076,0.075924076,0.020979021,0.953437303,0.046562697,0.011768178,0.968502268,0.031497732,0.009395415,-0.453058261,-0.344345516,-0.046756806,-1.132293819,0.886534489,0.942733661,0.008941382,0.030659682,0.002284989,0.015380285
Ammodramus savannarum,0.769639842,0.999000999,0.839160839,0.839160839,0.983016983,0.999000999,0.817182817,0.817182817,0.979020979,0.002997003,0.180819181,0.180819181,0.022977023,0.003996004,0.154845155,0.154845155,0.022977023,0.918033716,0.081966284,0.001099228,0.920100028,0.079899972,0.001099228,-0.678610877,-0.229143791,0.380471517,-0.514334623,1.096808701,0.917107218,0.001009219,0.079640081,0,0.002243481
Amphispiza bilineata,0.868598464,1,0.995004995,0.995004995,0.998001998,1,0.992007992,0.992007992,0.994005994,0.003996004,0.011988012,0.011988012,0.005994006,0.002997003,0.015984016,0.015984016,0.00999001,0.947002554,0.052997446,0.031897445,0.947002554,0.052997446,0.031897445,-0.024040161,2.043676305,0.071739583,1.840647433,0.224487154,0.918348044,0.030258113,0.051393843,0,0
Anas platyrhynchos,0.819038092,0.998001998,0.648351648,0.648351648,0.994005994,0.991008991,0.667332667,0.667332667,1,0.006993007,0.377622378,0.377622378,0.00999001,0.007992008,0.324675325,0.324675325,0.000999001,0.981118775,0.018881225,0.003355909,0.985064337,0.014935663,0.002464194,-1.208747492,-0.473742613,-0.83740926,-1.267100526,0.875961677,0.977888193,0.002415659,0.014826857,0.000877095,0.003992196
Antrostomus carolinensis,0.66627311,0.986013986,0.957042957,0.957042957,0.969030969,0.991008991,1,1,0.994005994,0.022977023,0.056943057,0.056943057,0.033966034,0.022977023,0.000999001,0.000999001,0.008991009,0.86167885,0.13832115,0.022620836,0.905011195,0.094988805,0.012767322,-2.650289592,0.267557713,-3.050296701,-0.213740672,0.625822517,0.844830378,0.010925714,0.088672304,0.008627363,0.046944242
Antrostomus vociferus,0.633815445,0.97002997,0.926073926,0.926073926,0.94005994,0.971028971,0.931068931,0.931068931,0.972027972,0.026973027,0.070929071,0.070929071,0.054945055,0.042957043,0.076923077,0.076923077,0.038961039,0.898617658,0.101382342,0.176366655,0.905315315,0.094684685,0.157433364,-0.679927619,0.689626605,-1.667928908,-0.443011013,1.503001837,0.753606298,0.140811147,0.078817815,0.020560442,0.006204298
Aphelocoma californica,0.660367845,0.948051948,0.93006993,0.93006993,0.938061938,0.954045954,0.944055944,0.944055944,0.947052947,0.066933067,0.085914086,0.085914086,0.062937063,0.058941059,0.065934066,0.065934066,0.064935065,0.764374103,0.235625897,0.139506459,0.781897116,0.218102884,0.139506459,-1.308134171,1.303752334,-1.315655523,2.234748295,0.931026343,0.680094596,0.110259501,0.189706023,0,0.01993988
