"BBS_species","BL_name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"Troglodytes aedon","Troglodytes aedon",8598,"Troglodytidae","Passeriformes","AVIBASE-7B6E99A9",104,12,20,72,26,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.85,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Carnivore","Invertivore","Insessorial","-55.72","59.66","4.96","-75.180000000000007","25653883.469999999"
"Troglodytes hiemalis","Troglodytes hiemalis",8595,"Troglodytidae","Passeriformes","AVIBASE-C757BD95",4,2,2,0,4,12.5,8.5,2.3,2.3,18.1,45.8,7.7,38,17,27.6,8.9,"Updated_literature","Dunning (2021)","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","34.58","60.53","49.93","-87.13","3348061.18"
"Troglodytes pacificus","Troglodytes pacificus",8594,"Troglodytidae","Passeriformes","AVIBASE-CF5B7A9D",3,1,2,0,1,11.8,8.1,2,2.5,17.4,44.2,8.4,35.8,19,30.1,9.4,"Updated_literature","Dunning (2021)","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","33.24","61.58","51.83","-124.8","1829701.25"
"Turdus migratorius","Turdus migratorius",8976,"Turdidae","Passeriformes","AVIBASE-103427C5",14,8,6,0,5,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Dunning","NA","NO","NA","NA","Forest",3,"3","Omnivore","Invertivore","Generalist","15.92","70.58","50.87","-106.8","16455945.960000001"
"Tympanuchus phasianellus","Tympanuchus phasianellus",369,"Phasianidae","Galliformes","AVIBASE-861CBBDA",5,5,0,0,4,22.3,11.6,8.4,9.2,40,200.6,79.4,120.6,39.6,103.2,882.38,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Herbivore","Herbivore terrestrial","Terrestrial","37.29","69.17","55.49","-113.89","6080574.5999999996"
"Tyrannus forficatus","Tyrannus forficatus",5738,"Tyrannidae","Passeriformes","AVIBASE-6F65F82B",5,2,3,0,3,22.4,13.9,7.6,6,18.6,121.2,45.1,74.9,37.5,214,39.3,"Dunning","NA","NO","NA","NA","Human Modified",2,"3","Omnivore","Invertivore","Insessorial","24.1","40.590000000000003","33.46","-98.04","1445850.08"
"Tyrannus tyrannus","Tyrannus tyrannus",5734,"Tyrannidae","Passeriformes","AVIBASE-082D833C",10,2,3,5,4,21.5,14.8,8.2,6.5,18.5,116.7,38.6,77.2,33.3,87.6,39.85,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Invertivore","Insessorial","24.95","65.28","45.77","-98.88","9124093.1600000001"
"Tyrannus verticalis","Tyrannus verticalis",5733,"Tyrannidae","Passeriformes","AVIBASE-2281F1C7",4,2,2,0,4,21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,33.2,89.9,39.6,"Dunning","NA","NO","NA","NA","Shrubland",3,"3","Carnivore","Invertivore","Insessorial","26.05","53.7","40.94","-108.96","5067458.79"
"Tyrannus vociferans","Tyrannus vociferans",5731,"Tyrannidae","Passeriformes","AVIBASE-178B8955",11,3,8,0,4,23.8,14.9,8.5,7,19.5,128.9,41.3,89.6,31.9,96.9,45.6,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","16.36","46.22","28.68","-106.02","1436515.31"
"Vermivora chrysoptera","Vermivora chrysoptera",10567,"Parulidae","Passeriformes","AVIBASE-83F326C8",21,11,8,2,4,14.6,9,3.2,3.5,17.9,60.6,15.6,44.9,25.9,44.9,8.74,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","34.729999999999997","49.47","43.32","-82.67","946202.7"
"Vermivora cyanoptera","Vermivora cyanoptera",10568,"Parulidae","Passeriformes","AVIBASE-B617FE7D",11,4,7,0,4,13,8.5,3,3.3,16.3,58.3,14.3,42.6,25.2,42.5,8.9,"Dunning","NA","NO","NA","NA","Shrubland",1,"3","Carnivore","Invertivore","Insessorial","33.31","44.73","39.65","-83.95","1491745.35"
"Vireo bellii","Vireo bellii",6417,"Vireonidae","Passeriformes","AVIBASE-C3168495",13,3,10,0,4,13.5,7,3.7,3.7,19.2,55.7,10.8,44.9,19.4,44.1,8.5,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","21.36","47.35","34.81","-99.81","2636566.5299999998"
"Vireo cassinii","Vireo cassinii",6411,"Vireonidae","Passeriformes","AVIBASE-EB0CD5DC",12,3,9,0,4,14.7,7.7,4.1,4.3,19.3,73.6,20.5,53,27.9,51,14.7,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","23.27","53.93","45.02","-119.65","923209.39"
"Vireo flavifrons","Vireo flavifrons",6408,"Vireonidae","Passeriformes","AVIBASE-F8DDF6A6",27,7,13,7,4,15.1,8.5,4.3,4.9,19.3,76.3,25.8,50.4,33.8,48.4,18,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","28.07","49.87","38.909999999999997","-86.42","3167329.54"
"Vireo gilvus","Vireo gilvus",6399,"Vireonidae","Passeriformes","AVIBASE-66AA469C",21,5,13,3,11,14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.67,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","16.11","66.86","45.21","-105.84","9680437.5600000005"
"Vireo griseus","Vireo griseus",6425,"Vireonidae","Passeriformes","AVIBASE-D97F93CC",24,6,13,5,11,13.7,7.4,3.9,4.1,19.5,61.6,11.1,50.6,17.9,48.9,11.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","20.09","42.84","34.729999999999997","-88.7","3034548.86"
"Vireo huttoni","Vireo huttoni",6407,"Vireonidae","Passeriformes","AVIBASE-1BDF5C00",15,4,11,0,4,13.1,6.9,3.7,3.8,19.5,63.2,10.8,52.6,17,49.1,11.3,"Dunning","NA","NO","NA","NA","Forest",1,"1","Carnivore","Invertivore","Insessorial","14.13","51","30.65","-109.85","1214843.43"
"Vireo olivaceus","Vireo olivaceus",6402,"Vireonidae","Passeriformes","AVIBASE-847717E2",31,7,9,15,8,16.4,9.6,4.3,4.4,19.5,77.5,23.6,55.6,29.8,52.7,16.06,"Dunning","NA","NO","NA","NA","Forest",1,"3","Omnivore","Invertivore","Insessorial","25.72","66.319999999999993","45.77","-96.24","8742854.7599999998"
"Vireo plumbeus","Vireo plumbeus",6412,"Vireonidae","Passeriformes","AVIBASE-1BB9C864",18,5,12,1,4,14.8,7.8,4.2,4.9,19.1,77,22.7,56.6,28.6,56.7,16.4,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","13.35","45.79","34.06","-108.58","1311596.67"
"Vireo solitarius","Vireo solitarius",6413,"Vireonidae","Passeriformes","AVIBASE-95DB0943",11,3,8,0,4,13.7,7.5,4,4.4,18.6,75.3,22.1,53.2,29.3,51.4,15.3,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","34.76","62.01","51.05","-92.77","3329804.9"
"Xanthocephalus xanthocephalus","Xanthocephalus xanthocephalus",10448,"Icteridae","Passeriformes","AVIBASE-3E2D0C9B",5,2,3,0,4,22.5,14.6,6.6,9.1,32.9,129.4,34.2,92.6,27,101.9,62.68,"Dunning","NA","NO","NA","NA","Wetland",2,"2","Herbivore","Granivore","Terrestrial","31.47","59.17","46.37","-108.09","4756494.1399999997"
"Zonotrichia albicollis","Zonotrichia albicollis",10418,"Passerellidae","Passeriformes","AVIBASE-39BD9FF2",10,4,5,1,5,13.6,8.4,5.1,6.3,23,72.8,14.3,58.1,19.7,70.4,24.4,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Herbivore","Omnivore","Terrestrial","40.700000000000003","65.849999999999994","53.74","-95.18","5662700.8499999996"
"Zonotrichia leucophrys","Zonotrichia leucophrys",10419,"Passerellidae","Passeriformes","AVIBASE-8601A467",5,2,3,0,4,15.4,8.4,4.5,6,22.8,78.7,18.5,60.9,23.4,70.6,28,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Omnivore","Omnivore","Generalist","33.380000000000003","70.64","58.71","-115.14","7364178.6100000003"
