"BBS_species","BL_name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"Sayornis phoebe","Sayornis phoebe",5871,"Tyrannidae","Passeriformes","AVIBASE-62CA2AF8",5,2,3,0,4,17.4,9.7,5.5,4.1,17.7,83.9,17.4,66.7,20.6,70.1,19.7,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","28.79","65.209999999999994","47.3","-95.73","6246276.4500000002"
"Sayornis saya","Sayornis saya",5872,"Tyrannidae","Passeriformes","AVIBASE-28669A3D",5,2,3,0,4,19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,"Dunning","NA","NO","NA","NA","Forest",3,"3","Carnivore","Invertivore","Insessorial","23.16","69.87","51.2","-122.26","7204273.9000000004"
"Seiurus aurocapilla","Seiurus aurocapilla",10562,"Parulidae","Passeriformes","AVIBASE-CEA5B6AA",21,5,8,8,4,15.1,8.9,3.6,4.1,22.3,73.2,18.3,55.1,24.9,50.4,18.8,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Terrestrial","33.47","61.09","47.01","-92.45","5222797.22"
"Selasphorus platycercus","Selasphorus platycercus",1561,"Trochilidae","Caprimulgiformes","AVIBASE-AFBD5A5F",5,2,3,0,4,21.1,17,2.1,1.6,4.6,49,31.4,16.8,65.2,32.4,3.54,"Dunning","NA","NO","NA","NA","Forest",2,"1","Herbivore","Nectarivore","Aerial","14.08","44.92","32.39","-107.32","696942.12"
"Selasphorus rufus","Selasphorus rufus",1563,"Trochilidae","Caprimulgiformes","AVIBASE-1E1B6D19",5,2,3,0,4,20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Dunning","NA","NO","NA","NA","Forest",2,"1","Herbivore","Nectarivore","Aerial","41.87","61.63","51.14","-123.62","1526769.21"
"Setophaga americana","Setophaga americana",10606,"Parulidae","Passeriformes","AVIBASE-41062654",19,5,14,0,7,11.6,7.6,3.1,3.1,16.9,57.6,15.5,39.9,28.1,44.1,7.84,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","26.1","52.89","39.96","-84.17","3355702.9"
"Setophaga caerulescens","Setophaga caerulescens",10615,"Parulidae","Passeriformes","AVIBASE-67B455A7",9,4,5,0,4,13,7.4,3.4,3.3,18.6,62.2,14.9,47,24.1,48.9,10.14,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","33.82","49.94","44.91","-77.040000000000006","1168234.94"
"Setophaga cerulea","Setophaga cerulea",10605,"Parulidae","Passeriformes","AVIBASE-D00EC2C9",9,3,5,1,4,14.3,8.2,3.2,3.3,15.5,65.6,21.9,44,33.2,42.3,9.04,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","33.26","47.22","40.57","-85.47","1849163.51"
"Setophaga citrina","Setophaga citrina",10601,"Parulidae","Passeriformes","AVIBASE-15EB3000",13,4,9,0,4,13.7,7.9,3.8,3.6,19.2,64.7,13.6,49.7,21.5,55.1,10.54,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","28.52","43.51","36.020000000000003","-85.15","2007300.04"
"Setophaga coronata audoboni","Setophaga auduboni",10619,"Parulidae","Passeriformes","AVIBASE-E336C5BD",8,4,4,0,4,14,7.3,3.1,3.3,19.4,75.4,19.5,55.9,25.8,56.2,11.94,"DataFromSplit","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","14.15","60.15","45.14","-117.01","3237248.7"
"Setophaga coronata coronata","Setophaga coronata",10620,"Parulidae","Passeriformes","AVIBASE-524C7116",12,6,6,0,3,12.6,7.2,3.4,3.4,18.1,71.6,17.6,54.1,24.5,56.3,11.94,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","40.75","69.23","56.68","-107.87","7207362.8399999999"
"Setophaga discolor","Setophaga discolor",10624,"Parulidae","Passeriformes","AVIBASE-E36325FA",16,6,8,2,7,11.8,7.2,2.8,2.9,17.7,55.5,11.1,44.4,20,48.4,7.64,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Invertivore","Insessorial","24.53","45.96","35.89","-83.73","1565603.51"
"Setophaga dominica","Setophaga dominica",10621,"Parulidae","Passeriformes","AVIBASE-136451CF",13,5,8,0,4,14.9,9.8,3,3.4,16.8,67.7,18.8,49,27.7,50.7,9.69,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","27.44","42.74","35.340000000000003","-87.05","1925341.63"
"Setophaga fusca","Setophaga fusca",10611,"Parulidae","Passeriformes","AVIBASE-4168AF09",44,20,18,6,4,12.3,8,3.5,3.5,17.6,65.7,21.9,45.6,32.4,47.2,9.74,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","34.72","54.24","47.11","-82.52","2026720.02"
"Setophaga magnolia","Setophaga magnolia",10609,"Parulidae","Passeriformes","AVIBASE-1E82CE1E",24,10,8,6,5,12.1,7.1,3.1,3.1,18.2,58.4,12.6,46.9,21.1,46.5,8.14,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","38.229999999999997","64.040000000000006","52.19","-95.33","3661483.1"
"Setophaga nigrescens","Setophaga nigrescens",10629,"Parulidae","Passeriformes","AVIBASE-6B7A93C5",10,5,5,0,4,12.1,6.9,3.4,3.7,18.2,63.2,14.8,48.5,23.4,49,8.7,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","30.09","52.44","40.07","-115.37","1793686"
"Setophaga pensylvanica","Setophaga pensylvanica",10613,"Parulidae","Passeriformes","AVIBASE-7AB1229B",46,20,17,9,4,13.4,7.6,3.6,3.6,18.7,61.6,16.9,46.5,26.6,46.2,9.29,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","34.92","54.44","47.41","-83.82","2422614.2000000002"
"Setophaga petechia","Setophaga petechia",10612,"Parulidae","Passeriformes","AVIBASE-A6C0C4A9",92,45,24,23,8,11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.22,"Dunning","NA","NO","NA","NA","Shrubland",1,"3","Carnivore","Invertivore","Insessorial","-3.94","70.64","50.59","-108.69","15552185.220000001"
"Setophaga pinus","Setophaga pinus",10618,"Parulidae","Passeriformes","AVIBASE-6283E61E",14,7,7,0,6,13.4,8,3.1,3.8,18.6,71.8,20.6,51.2,28.6,54,11.79,"Dunning","NA","NO","NA","NA","Forest",2,"3","Carnivore","Invertivore","Insessorial","17.61","52.12","38.54","-83.72","2073441.98"
"Setophaga ruticilla","Setophaga ruticilla",10602,"Parulidae","Passeriformes","AVIBASE-BED38F50",35,18,16,1,6,12.3,6.8,4,3,17,62,15.6,48,24.6,52.6,8.24,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Invertivore","Insessorial","30.05","65.02","47.72","-98.09","6675504.9500000002"
"Setophaga virens","Setophaga virens",10633,"Parulidae","Passeriformes","AVIBASE-9FFEDE99",15,6,9,0,10,12.5,7.1,3.1,3.3,17.5,62.1,16.5,45.6,26.5,48.4,8.69,"Dunning","NA","NO","NA","NA","Forest",1,"3","Omnivore","Invertivore","Insessorial","33.64","58.7","49.03","-84.73","3340613.66"
"Sialia currucoides","Sialia currucoides",8849,"Turdidae","Passeriformes","AVIBASE-97B870B4",5,1,4,0,4,16.4,9.6,3.9,3.9,21.9,114,41,71.2,36.6,70,29.6,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Omnivore","Invertivore","Insessorial","30.62","66.84","49.97","-118.28","4376669.8"
"Sialia mexicana","Sialia mexicana",8847,"Turdidae","Passeriformes","AVIBASE-AC2B812A",5,2,3,0,4,15.1,8.6,3.4,3.9,19.8,104.4,39.2,66.2,37.2,64.2,26.44,"Dunning","NA","NO","NA","NA","Woodland",3,"2","Omnivore","Omnivore","Insessorial","18.57","52.86","36.28","-112.01","1779665.7"
"Sialia sialis","Sialia sialis",8848,"Turdidae","Passeriformes","AVIBASE-A8347C7D",4,2,2,0,4,15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,32.8,62.5,27.5,"Dunning","NA","NO","NA","NA","Woodland",2,"2","Carnivore","Invertivore","Insessorial","12.85","53.98","38.51","-89.69","5460000"
"Sitta canadensis","Sitta canadensis",8552,"Sittidae","Passeriformes","AVIBASE-0716A71C",5,2,3,0,4,14,10.4,3.3,3.2,14.5,66.4,17.3,48.9,26.2,35.6,9.8,"Dunning","NA","NO","NA","NA","Forest",1,"3","Omnivore","Omnivore","Insessorial","31.61","63.37","49.37","-105.04","7299100.0700000003"
"Sitta carolinensis","Sitta carolinensis",8556,"Sittidae","Passeriformes","AVIBASE-19CCBBD2",5,2,3,0,4,19.1,12.2,4,4.2,18.5,88.6,27.6,60.9,31.2,48.8,21,"Dunning","NA","NO","NA","NA","Forest",1,"1","Omnivore","Omnivore","Insessorial","17.489999999999998","58.92","43.04","-102.26","8811748.3499999996"
