"species","niche_breadth_zcor"
"Limosa lapponica",4.76243255720254
"Limosa limosa",5.92532641067737
"Linaria cannabina",6.07438594498154
"Linaria flavirostris",6.44790563966273
"Locustella fluviatilis",4.68237085376741
"Locustella luscinioides",5.48876997516909
"Locustella naevia",5.72316962078398
"Lophophanes cristatus",5.65366018163854
"Loxia curvirostra",6.797997647795
"Loxia leucoptera",6.27957336209175
"Loxia pytyopsittacus",5.35475367155789
"Lullula arborea",5.49253468241158
"Luscinia luscinia",4.87974179043532
"Luscinia megarhynchos",5.98745532006054
"Lymnocryptes minimus",5.30083505615932
"Lyrurus tetrix",5.97152460425375
"Melanitta fusca",5.71606170262503
"Melanitta nigra",6.17460555165706
"Melanocorypha calandra",5.64410756826273
"Mergellus albellus",5.3364844354845
"Mergus merganser",6.59952463157165
"Mergus serrator",6.59846220145954
"Merops apiaster",5.97101222882857
"Milvus migrans",7.17719051428503
"Milvus milvus",5.00424573896643
"Monticola saxatilis",5.93663081821731
"Monticola solitarius",6.96394282548443
"Montifringilla nivalis",6.08530595234908
"Motacilla cinerea",6.65106276713136
"Motacilla citreola",6.25143716657851
"Motacilla flava",6.41431509765687
"Netta rufina",5.75923186307471
"Nucifraga caryocatactes",6.24073993329744
"Numenius arquata",5.88984343247831
"Numenius phaeopus",6.01577242702206
"Nycticorax nycticorax",7.54798484780138
"Oenanthe hispanica",5.61386627168013
"Oenanthe isabellina",5.75872037074816
"Oenanthe leucura",4.69598011811519
"Oenanthe oenanthe",6.90829338962228
"Oenanthe pleschanka",5.7237177797369
"Oriolus oriolus",5.89279721344782
"Otis tarda",5.19223744550985
"Otus scops",6.04863393496375
"Oxyura jamaicensis",6.03247737387133
"Oxyura leucocephala",5.44125834190641
"Pandion haliaetus",7.43866186506195
"Panurus biarmicus",5.69636266566257
"Passer domesticus",7.34982130479193
"Passer hispaniolensis",5.74625532706365
"Passer italiae",5.14861168846284
"Passer montanus",7.23460848786655
"Perdix perdix",5.55575579860726
"Periparus ater",6.7190084767992
"Perisoreus infaustus",5.48523321195061
"Pernis apivorus",5.57643869963746
"Petronia petronia",5.84608934983092
"Phalacrocorax carbo",7.1909597605078
"Phalaropus lobatus",6.50890143698362
"Phasianus colchicus",6.41816635193004
"Phoenicurus ochruros",6.45915892288455
"Phoenicurus phoenicurus",6.22633746685749
"Phylloscopus bonelli",5.3592625726339
"Phylloscopus borealis",5.34704743935743
"Phylloscopus trochiloides",6.1688746875263
"Phylloscopus trochilus",6.16118562882018
"Pica pica",6.83282234010513
"Picoides tridactylus",6.43790109863675
"Picus canus",5.92835201339154
"Pinicola enucleator",6.42549157539914
"Platalea leucorodia",6.04917203707622
"Plectrophenax nivalis",6.38506617287387
"Plegadis falcinellus",6.56206157824833
"Pluvialis apricaria",6.01257083710568
"Podiceps auritus",6.18268016531466
"Podiceps cristatus",6.41134950900458
"Podiceps grisegena",6.35587813310121
"Podiceps nigricollis",5.99713223250127
"Poecile cinctus",5.48435161020794
"Poecile lugubris",5.4964536435926
"Poecile montanus",6.35699492187901
"Poecile palustris",6.01128709565563
"Porphyrio porphyrio",7.29811273680576
"Porzana porzana",5.82562137528462
"Prunella collaris",6.5816497862762
"Prunella modularis",6.25046077820905
"Psittacula krameri",6.43421379431116
"Pterocles alchata",4.81804107465017
"Pterocles orientalis",5.3702469089201
