"species","niche_breadth_zcor"
"Mergus merganser",6.46307124409329
"Mimus polyglottos",6.16698810229381
"Mniotilta varia",4.61082907936298
"Myadestes townsendi",6.38741041517878
"Myiarchus cinerascens",5.03391100331029
"Myiarchus crinitus",4.91348420856108
"Nucifraga columbiana",5.07347811116848
"Numenius americanus",5.30870733275827
"Nyctanassa violacea",7.02116755473918
"Nycticorax nycticorax",8.03690519371252
"Oreortyx pictus",4.74279380229624
"Oreoscoptes montanus",4.85373296780096
"Oxyura jamaicensis",5.74951115694773
"Pandion haliaetus",7.60554601511429
"Parkesia motacilla",4.39708113835951
"Parkesia noveboracensis",5.94575721262633
"Passer domesticus",7.49262747347113
"Passerculus sandwichensis",6.48409578710744
"Passerella iliaca",5.19528962304572
"Passerina amoena",4.38409394109529
"Passerina caerulea",6.12254121905805
"Passerina ciris",5.28392644340129
"Passerina cyanea",5.02489338468865
"Patagioenas fasciata",6.43476527028678
"Pelecanus erythrorhynchos",4.4016183758219
"Perdix perdix",5.23734298288268
"Perisoreus canadensis",6.38220937390999
"Petrochelidon pyrrhonota",6.55741802112413
"Peucaea aestivalis",4.62145660027148
"Peucaea cassinii",4.72444390452172
"Phainopepla nitens",4.39269639802202
"Phalacrocorax auritus",6.30542820016898
"Phalaenoptilus nuttallii",4.71923019490504
"Phalaropus tricolor",5.28235533574464
"Phasianus colchicus",6.50859531660885
"Pheucticus ludovicianus",4.63424017181207
"Pheucticus melanocephalus",5.89982222466708
"Pica hudsonia",6.15197115641739
"Pipilo chlorurus",3.4846918717379
"Pipilo erythrophthalmus",4.75863080932208
"Pipilo maculatus",6.26555030793338
"Piranga ludoviciana",6.31997378397603
"Piranga olivacea",4.3853383129598
"Piranga rubra",5.42922695520209
"Podiceps nigricollis",5.60524922704569
"Podilymbus podiceps",7.31424542419271
"Poecile atricapillus",6.2144226819738
"Poecile carolinensis",4.78263463990014
"Poecile gambeli",6.04181911645373
"Poecile rufescens",6.40810971232259
"Polioptila caerulea",6.27616770841751
"Polioptila melanura",4.62388976820617
"Pooecetes gramineus",4.75293813184312
"Porzana carolina",6.20806459489221
"Progne subis",5.56409074404745
"Protonotaria citrea",4.68394888180864
"Psaltriparus minimus",6.16346390253152
"Quiscalus major",4.5999758211093
"Quiscalus mexicanus",6.80785067388348
"Quiscalus quiscula",4.97092382925559
"Rallus limicola",5.95976143876241
"Recurvirostra americana",3.92257448052427
"Regulus calendula",6.40119825055442
"Regulus satrapa",6.6614029517628
"Riparia riparia",6.08240730275056
"Salpinctes obsoletus",5.75408104280176
"Sayornis nigricans",7.14008793668553
"Sayornis phoebe",4.64298411966208
"Sayornis saya",6.06706333242045
"Seiurus aurocapilla",4.60226821509306
"Selasphorus platycercus",6.17506906547736
"Selasphorus rufus",6.08003282338418
"Setophaga americana",4.75687949010403
"Setophaga caerulescens",4.253990156438
"Setophaga cerulea",4.16615555436718
"Setophaga citrina",4.49063253390145
"Setophaga coronata audoboni",6.44163818877856
"Setophaga coronata coronata",5.79138301364382
"Setophaga discolor",4.336897952824
"Setophaga dominica",4.61001112461129
"Setophaga fusca",4.40329050232528
"Setophaga magnolia",4.47828187433965
"Setophaga nigrescens",5.62690443804878
"Setophaga pensylvanica",4.4660484751084
"Setophaga petechia",7.03440801920339
"Setophaga pinus",4.95448118987167
"Setophaga ruticilla",5.44858395002817
"Setophaga townsendi",6.47209214239549
"Setophaga virens",4.56768535788384
"Sialia currucoides",5.43909385559401
"Sialia mexicana",5.57216965270622
"Sialia sialis",5.99402780505351
"Sitta canadensis",6.46215561906524
"Sitta carolinensis",5.69147853258488
"Sitta pusilla",4.56946268706628
"Sitta pygmaea",5.30313440596657
"Spatula clypeata",6.28894161569208
"Spatula cyanoptera",6.90610025005368
"Spatula discors",6.02765840143048
"Sphyrapicus nuchalis",4.94352049179271
"Sphyrapicus ruber",6.18154175711101
"Sphyrapicus varius",4.5383383094273
"Spinus pinus",6.59163856780717
"Spinus psaltria",6.6516460515635
"Spinus tristis",5.70733905721073
"Spiza americana",4.67397519746571
"Spizella breweri",5.49516567881531
"Spizella pallida",4.38934162399988
"Spizella passerina",6.67990292359738
"Spizella pusilla",4.66910397154424
"Stelgidopteryx serripennis",6.68826328747814
"Sterna forsteri",5.20467233197148
"Strix varia",5.94068535088607
"Sturnella magna",6.83313675359898
"Sturnella neglecta",5.85916582956295
"Sturnus vulgaris",6.55586046825142
"Tachycineta bicolor",6.33508041359979
"Tachycineta thalassina",6.66684043085172
"Thryomanes bewickii",5.96766737706448
"Thryothorus ludovicianus",5.12134199580617
"Toxostoma curvirostre",5.29993932690164
"Toxostoma rufum",4.96653666462844
"Tringa semipalmata",5.77924153916781
"Troglodytes aedon",7.59030265996085
"Troglodytes hiemalis",4.61529759178128
"Troglodytes pacificus",6.46663149221721
"Turdus migratorius",6.56234705558567
"Tympanuchus phasianellus",5.21096965517645
"Tyrannus forficatus",4.97878843572038
"Tyrannus tyrannus",5.5321607858686
"Tyrannus verticalis",4.75307015578491
"Tyrannus vociferans",5.07064734639853
"Vermivora chrysoptera",4.24036540891948
"Vermivora cyanoptera",4.08447367904544
"Vireo bellii",4.31917873574897
"Vireo cassinii",5.41780986598675
"Vireo flavifrons",4.60734232046801
"Vireo gilvus",6.28302060121119
"Vireo griseus",5.31667934288179
"Vireo huttoni",6.04541959090143
"Vireo olivaceus",5.57848962455075
"Vireo plumbeus",6.25200093653929
"Vireo solitarius",4.53590099841225
"Xanthocephalus xanthocephalus",4.26160985868169
"Zenaida asiatica",6.2834997344883
"Zonotrichia albicollis",4.64191375914902
"Zonotrichia leucophrys",6.2323892005432
