"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Poecile lugubris",5405385.60753214,2224508.17038039,5374372.95581933,2210601.86413316,33987.7907446479,-13906.3062472325,-31012.6517128116,156,189,0.8411528573341,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.971490048100663,0.0285099518993372,0.00565295746214905,0.971490048100663,0.0285099518993372,0.00565295746214905,0.966153966914804,0.00549267714712194,0.0283533559380742,0,0
"Poecile montanus",4687121.77951165,3568080.20483195,4741971.61797645,3536789.91749761,63147.3424704519,-31290.2873343383,54849.838464804,1471,1462,0.93855238497487,1,0.965034965034965,0.965034965034965,1,1,0.963036963036963,0.963036963036963,1,0.001998001998002,0.043956043956044,0.043956043956044,0.001998001998002,0.000999000999000999,0.037962037962038,0.037962037962038,0.000999000999000999,0.997165328274456,0.00283467172554407,0.0132751553651763,0.997165328274456,0.00283467172554407,0.0132751553651763,0.983964830909653,0.0132380228137757,0.00279714627657175,0,0
"Poecile palustris",4633055.67653945,3056612.70157145,4670840.29628337,3024859.27661434,49355.4200235289,-31753.4249571068,37784.6197439162,1543,1584,0.953291915232923,1,0.998001998001998,0.998001998001998,1,1,0.998001998001998,0.998001998001998,1,0.001998001998002,0.003996003996004,0.003996003996004,0.001998001998002,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.994454491342195,0.00554550865780522,0,0.994454491342195,0.00554550865780522,0,0.994454491342195,0,0.00554550865780522,0,0
"Porzana porzana",4879444.06998539,3264078.15136492,4899666.80377305,3447924.8463038,184955.578996142,183846.694938885,20222.7337876661,1003,994,0.871446065168703,0.999000999000999,0.9000999000999,0.9000999000999,1,0.999000999000999,0.925074925074925,0.925074925074925,1,0.000999000999000999,0.0839160839160839,0.0839160839160839,0.000999000999000999,0.002997002997003,0.0779220779220779,0.0779220779220779,0.002997002997003,0.997293446712396,0.0027065532876044,0.0226210320079467,0.997293446712396,0.0027065532876044,0.0226210320079467,0.974793321481937,0.0225611882887937,0.00264549022926911,0,0
"Prunella modularis",4446277.36783106,3367061.84582438,4415234.02488227,3412107.3086637,54706.3329409377,45045.462839318,-31043.3429487925,1931,1839,0.956040013727052,1,0.952047952047952,0.952047952047952,1,1,0.962037962037962,0.962037962037962,1,0.001998001998002,0.050949050949051,0.050949050949051,0.001998001998002,0.002997002997003,0.041958041958042,0.041958041958042,0.002997002997003,0.998131350654762,0.00186864934523798,0.000937087770530468,0.998131350654762,0.00186864934523798,0.000937087770530468,0.997197760154159,0.000935338319941763,0.00186690152589884,0,0
"Ptyonoprogne rupestris",4171408.18216309,2149204.66884922,4129979.45445025,2165933.21359977,44678.6715265305,16728.5447505508,-41428.7277128375,568,684,0.937625038289668,1,0.954045954045954,0.954045954045954,1,1,0.955044955044955,0.955044955044955,1,0.000999000999000999,0.041958041958042,0.041958041958042,0.000999000999000999,0.000999000999000999,0.051948051948052,0.051948051948052,0.000999000999000999,0.981357520175924,0.0186424798240763,0,0.981357520175924,0.0186424798240763,0,0.981357520175924,0,0.0186424798240763,0,0
"Pyrrhula pyrrhula",4456789.54726644,3390753.2388035,4447077.83412338,3409164.58391091,20815.7392575256,18411.3451074106,-9711.71314306185,1760,1759,0.969749102793658,1,0.944055944055944,0.944055944055944,1,1,0.948051948051948,0.948051948051948,1,0.001998001998002,0.04995004995005,0.04995004995005,0.001998001998002,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.994418206339963,0.00558179366003705,0.000555653476840232,0.994418206339963,0.00558179366003705,0.000555653476840232,0.993868736932855,0.000552553647554955,0.0055787094195903,0,0
"Rallus aquaticus",4452936.51227488,2939735.00494131,4545851.75792448,3043094.19510496,138983.326573408,103359.190163644,92915.2456496041,1646,1839,0.916047445408944,1,0.678321678321678,0.678321678321678,1,1,0.697302697302697,0.697302697302697,1,0.000999000999000999,0.308691308691309,0.308691308691309,0.000999000999000999,0.000999000999000999,0.327672327672328,0.327672327672328,0.000999000999000999,0.999254189463899,0.000745810536101406,0.000972604743142983,0.999254189463899,0.000745810536101406,0.000972604743142983,0.998283034233035,0.000971880069259346,0.000745085697705926,0,0
"Regulus ignicapilla",4216809.20863213,2628131.16485018,4261237.01058039,2719957.56056977,102009.394355635,91826.3957195841,44427.8019482596,1045,1400,0.864862255895181,1,0.86013986013986,0.86013986013986,1,1,0.857142857142857,0.857142857142857,1,0.000999000999000999,0.15984015984016,0.15984015984016,0.000999000999000999,0.001998001998002,0.153846153846154,0.153846153846154,0.001998001998002,0.971637446128896,0.0283625538711041,3.81772669249492e-05,0.971637446128896,0.0283625538711041,3.81772669249492e-05,0.971601403721414,3.70945023012436e-05,0.0283615017762843,0,0
"Regulus regulus",4424743.41757111,3399599.703214,4456015.12882845,3382896.86031331,35452.8544115736,-16702.8429006916,31271.7112573497,1706,1798,0.953216342858606,1,0.849150849150849,0.849150849150849,1,1,0.846153846153846,0.846153846153846,1,0.000999000999000999,0.161838161838162,0.161838161838162,0.000999000999000999,0.001998001998002,0.166833166833167,0.166833166833167,0.001998001998002,0.995343176165151,0.00465682383484938,0.000325983221848874,0.995343176165151,0.00465682383484938,0.000325983221848874,0.995020221476641,0.000324465667965558,0.00465531285539321,0,0
"Remiz pendulinus",4810407.49019649,2859205.60331452,4988824.72888084,2915846.46022546,187192.141211525,56640.8569109393,178417.238684354,995,1174,0.843730460798038,0.999000999000999,0.922077922077922,0.922077922077922,1,0.997002997002997,0.922077922077922,0.922077922077922,1,0.003996003996004,0.0809190809190809,0.0809190809190809,0.001998001998002,0.002997002997003,0.0839160839160839,0.0839160839160839,0.000999000999000999,0.992531372578131,0.00746862742186878,0.00636031141389619,0.992531372578131,0.00746862742186878,0.00636031141389619,0.986265414325485,0.00631310850796582,0.00742147716654895,0,0
