"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Branta canadensis",476309.111312111,654981.169662981,653156.769701858,446273.176091559,273558.258618791,-208707.993571423,176847.658389747,63,331,0.654662809373381,0.997002997002997,0.898101898101898,0.898101898101898,1,0.988011988011988,0.878121878121878,0.878121878121878,1,0.00899100899100899,0.126873126873127,0.126873126873127,0.000999000999000999,0.00899100899100899,0.151848151848152,0.151848151848152,0.000999000999000999,0.854764497525142,0.145235502474858,0.00398180685219457,0.854764497525142,0.145235502474858,0.00398180685219457,0.851853617099227,0.00340547651937226,0.1447409063814
"Bubo virginianus",185559.038043999,259999.285174692,-31958.3056982729,271637.088342335,217828.449223838,11637.8031676437,-217517.343742272,164,110,0.864535898344083,1,0.6003996003996,0.6003996003996,1,0.995004995004995,0.632367632367632,0.632367632367632,1,0.002997002997003,0.361638361638362,0.361638361638362,0.000999000999000999,0.003996003996004,0.381618381618382,0.381618381618382,0.000999000999000999,0.99534939685069,0.00465060314930996,0.00377603453564337,0.99534939685069,0.00465060314930996,0.00377603453564337,0.991608336626612,0.00375853970064719,0.00463312367274133
"Bubulcus ibis",660308.155656644,-389267.893422197,521072.362651557,-425926.688078493,143980.808719107,-36658.7946562959,-139235.793005087,56,50,0.829880778102594,1,0.991008991008991,0.991008991008991,1,0.999000999000999,0.988011988011988,0.988011988011988,1,0.003996003996004,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.003996003996004,0.012987012987013,0.012987012987013,0.000999000999000999,0.949893826397825,0.0501061736021746,0.0251770793494316,0.949893826397825,0.0501061736021746,0.0251770793494316,0.927147896362087,0.02394576046672,0.048906343171193
"Buteo jamaicensis",253439.626147101,322390.12863297,375914.815664228,316618.009611854,122611.130837498,-5772.11902111559,122475.189517127,339,416,0.922729357623872,1,0.953046953046953,0.953046953046953,1,1,0.947052947052947,0.947052947052947,1,0.000999000999000999,0.050949050949051,0.050949050949051,0.000999000999000999,0.000999000999000999,0.0569430569430569,0.0569430569430569,0.000999000999000999,0.998410436214798,0.00158956378520223,0.00296234919308016,0.998410436214798,0.00158956378520223,0.00296234919308016,0.995457483317713,0.00295765427721335,0.00158486240507402
"Buteo lineatus",782466.998976192,-48767.1857303163,701077.611349486,34859.810155765,116694.930734719,83626.9958860813,-81389.3876267058,100,218,0.815098195514515,0.993006993006993,0.921078921078921,0.921078921078921,1,0.988011988011988,0.91008991008991,0.91008991008991,1,0.012987012987013,0.0729270729270729,0.0729270729270729,0.000999000999000999,0.00699300699300699,0.0719280719280719,0.0719280719280719,0.000999000999000999,0.944034510113522,0.0559654898864783,0,0.944034510113522,0.0559654898864783,0,0.944034510113522,0,0.0559654898864783
"Buteo platypterus",1125868.6110035,432739.890093379,1111747.26625415,359563.054114546,74526.9193070715,-73176.8359788324,-14121.3447493433,97,108,0.817706230483986,0.998001998001998,0.97002997002997,0.97002997002997,1,0.999000999000999,0.982017982017982,0.982017982017982,1,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.001998001998002,0.023976023976024,0.023976023976024,0.000999000999000999,0.910337406070252,0.0896625939297478,0.0108746140355415,0.910337406070252,0.0896625939297478,0.0108746140355415,0.901316663436845,0.00990922988911129,0.0887741066740439
"Buteo swainsoni",-543892.274613659,425303.250625407,-735958.520319706,344368.872284261,208422.206919232,-80934.3783411454,-192066.245706046,54,53,0.875271394865636,0.998001998001998,0.986013986013986,0.986013986013986,0.997002997002997,0.998001998001998,0.987012987012987,0.987012987012987,0.996003996003996,0.00699300699300699,0.017982017982018,0.017982017982018,0.00899100899100899,0.003996003996004,0.012987012987013,0.012987012987013,0.004995004995005,0.95216784546256,0.0478321545374399,0.0478134050738861,0.95216784546256,0.0478321545374399,0.0478134050738861,0.908719717083036,0.0456307452373764,0.0456495376795871
"Butorides virescens",755364.353219087,171102.133156474,763130.288391785,192201.642730133,22483.3061037631,21099.5095736598,7765.93517269811,310,205,0.894357722684535,1,1,1,1,1,1,1,1,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.001998001998002,0.034965034965035,0.034965034965035,0.001998001998002,1,0,0.0277930374212548,1,0,0.0277930374212548,0.972206962578745,0.0277930374212548,0
"Calamospiza melanocorys",-508762.333970995,684122.859866754,-653793.109557088,596731.934720107,169325.425335626,-87390.9251466467,-145030.775586094,30,23,0.768699678697845,0.996003996003996,0.982017982017982,0.982017982017982,0.993006993006993,0.998001998001998,0.992007992007992,0.992007992007992,0.997002997002997,0.00799200799200799,0.012987012987013,0.012987012987013,0.00899100899100899,0.00599400599400599,0.015984015984016,0.015984015984016,0.004995004995005,0.971226932568078,0.028773067431922,0.140021649714618,0.971226932568078,0.028773067431922,0.140021649714618,0.838612782317482,0.13654290856612,0.0248443091163983
"Callipepla californica",-2075872.07218049,546223.442622853,-2050811.79526106,597886.052641556,57419.8811669179,51662.6100187032,25060.2769194271,31,33,0.912398576653888,1,0.992007992007992,0.992007992007992,1,1,0.996003996003996,0.996003996003996,1,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.001998001998002,0.004995004995005,0.004995004995005,0.000999000999000999,0.98849169261666,0.0115083073833403,0.0310407157676115,0.98849169261666,0.0115083073833403,0.0310407157676115,0.958150479304953,0.0306944545293946,0.011155066165652
"Cardellina canadensis",1440934.86028353,835079.68608209,1286290.32809346,828938.686355712,154766.415006374,-6140.99972637801,-154644.53219007,48,33,0.80411073366828,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,0,0.0692948028840287,1,0,0.0692948028840287,0.930705197115971,0.0692948028840287,0
"Cardellina pusilla",-1689047.16717355,909848.970482224,-1848507.33924672,849726.226646454,170417.988498711,-60122.7438357697,-159460.172073171,24,25,0.856213828933372,1,0.988011988011988,0.988011988011988,1,1,0.984015984015984,0.984015984015984,1,0.000999000999000999,0.012987012987013,0.012987012987013,0.000999000999000999,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.999158338898479,0.00084166110152072,0.0680553936433011,0.999158338898479,0.00084166110152072,0.0680553936433011,0.931213564352358,0.0680020091920839,0.000784426455558489
"Cardinalis cardinalis",867710.87371582,192860.218451889,873424.56085573,230113.314128975,37688.7165907636,37253.0956770859,5713.68713991065,387,408,0.940980968429968,0.997002997002997,0.929070929070929,0.929070929070929,1,0.998001998001998,0.914085914085914,0.914085914085914,1,0.000999000999000999,0.0869130869130869,0.0869130869130869,0.000999000999000999,0.001998001998002,0.0819180819180819,0.0819180819180819,0.000999000999000999,0.9955372819556,0.00446271804439996,0,0.9955372819556,0.00446271804439996,0,0.9955372819556,0,0.00446271804439996
"Cathartes aura",504434.045342605,76455.5875784733,538007.472822001,253270.174289008,179973.812279263,176814.586710535,33573.4274793962,239,419,0.773786685099819,0.967032967032967,0.745254745254745,0.745254745254745,1,0.961038961038961,0.737262737262737,0.737262737262737,1,0.033966033966034,0.241758241758242,0.241758241758242,0.000999000999000999,0.032967032967033,0.23976023976024,0.23976023976024,0.001998001998002,0.970902150842825,0.0290978491571749,0.00853000701097998,0.970902150842825,0.0290978491571749,0.00853000701097998,0.962859335053031,0.00828385824751918,0.0288568066994492
"Catharus fuscescens",1080643.67790094,796827.459425985,1173660.6694931,791700.577574553,93158.1753920397,-5126.88185143203,93016.9915921574,133,121,0.886801728302629,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.99610511001458,0.00389488998541987,0.0121061072733961,0.99610511001458,0.00389488998541987,0.0121061072733961,0.984092556586075,0.0120595239475569,0.0038479194663676
"Catharus guttatus",391079.34562181,819099.959915271,599027.510193507,806163.928945507,208350.138099278,-12936.030969764,207948.164571697,94,89,0.872963545940387,1,1,1,1,1,1,1,1,0.000999000999000999,0.0869130869130869,0.0869130869130869,0.000999000999000999,0.001998001998002,0.0889110889110889,0.0889110889110889,0.001998001998002,1,0,0.0127588725896576,1,0,0.0127588725896576,0.987241127410342,0.0127588725896576,0
"Catharus ustulatus",-629542.124666114,985250.174200381,-726980.138558712,1010219.1466496,100586.361582991,24968.9724492242,-97438.0138925974,35,27,0.806000642332618,0.998001998001998,0.981018981018981,0.981018981018981,1,0.999000999000999,0.985014985014985,0.985014985014985,1,0.001998001998002,0.022977022977023,0.022977022977023,0.000999000999000999,0.001998001998002,0.020979020979021,0.020979020979021,0.000999000999000999,0.821322778320854,0.178677221679146,0,0.821322778320854,0.178677221679146,0,0.821322778320854,0,0.178677221679146
"Certhia americana",-46677.3488927343,696657.773310284,299075.841099867,798242.746926786,360367.555774275,101584.973616502,345753.189992601,55,74,0.785647871898801,0.994005994005994,0.93006993006993,0.93006993006993,1,0.996003996003996,0.909090909090909,0.909090909090909,1,0.010989010989011,0.0669330669330669,0.0669330669330669,0.000999000999000999,0.00899100899100899,0.0689310689310689,0.0689310689310689,0.000999000999000999,0.915485337983057,0.0845146620169435,0.0133601307258235,0.915485337983057,0.0845146620169435,0.0133601307258235,0.904275375871588,0.012244829760098,0.0834797943683138
