species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,niche_stability_NA,niche_expansion_NA,niche_unfilling_NA,niche_stability_A,niche_expansion_A,niche_unfilling_A,niche_centroid_hist_X,niche_centroid_hist_Y,niche_centroid_rec_X,niche_centroid_rec_Y,niche_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Certhia brachydactyla,0.864114012,0.993006993,0.971028971,0.971028971,0.984015984,0.995004995,0.97002997,0.97002997,0.987012987,0.003996004,0.022977023,0.022977023,0.00999001,0.005994006,0.023976024,0.023976024,0.012987013,0.995967849,0.004032151,0.007700953,0.995967849,0.004032151,0.007700953,-0.72034344,0.314397202,-0.773173654,0.322462133,0.053442255,0.988328637,0.007670139,0.004001224,0,0
Cettia cetti,0.848911687,0.999000999,0.973026973,0.973026973,0.978021978,0.999000999,0.981018981,0.981018981,0.985014985,0.003996004,0.032967033,0.032967033,0.020979021,0.002997003,0.026973027,0.026973027,0.025974026,0.976000383,0.023999617,0.007562721,0.976000383,0.023999617,0.007562721,-1.566030644,1.438871679,-1.267512579,1.520113662,0.309375653,0.968795002,0.007382559,0.023822439,0,0
Charadrius hiaticula,0.828655977,1,0.947052947,0.947052947,0.997002997,1,1,1,1,0.001998002,0.05994006,0.05994006,0.006993007,0.004995005,0.000999001,0.000999001,0.000999001,0.994747208,0.005252792,0.016959114,0.997779598,0.002220402,0.00521524,1.364639619,-0.554196643,0.743226636,-0.494533207,0.624270631,0.977964296,0.005127057,0.002176306,0.011744478,0.002987863
Ciconia ciconia,0.797022822,0.994005994,0.991008991,0.991008991,0.991008991,0.996003996,0.989010989,0.989010989,0.989010989,0.004995005,0.004995005,0.004995005,0.005994006,0.006993007,0.008991009,0.008991009,0.010989011,0.983894429,0.016105571,0.001232675,0.983894429,0.016105571,0.001232675,-0.756023092,-1.355997999,-0.78591207,-0.811902975,0.544915357,0.982701117,0.001212846,0.016086037,0,0
Cinclus cinclus,0.869062521,1,0.994005994,0.994005994,0.994005994,1,1,1,1,0.002997003,0.010989011,0.010989011,0.011988012,0.000999001,0.000999001,0.000999001,0.000999001,0.994737758,0.005262242,0.009050047,0.996029502,0.003970498,0.007472737,0.89037569,0.074271812,0.533547959,0.069922589,0.356854235,0.985782282,0.007421954,0.003929649,0.001580898,0.001285218
Circus aeruginosus,0.831557295,0.998001998,0.987012987,0.987012987,0.984015984,0.998001998,0.987012987,0.987012987,0.988011988,0.005994006,0.015984016,0.015984016,0.018981019,0.005994006,0.018981019,0.018981019,0.021978022,0.987822667,0.012177333,0.002331204,0.987822667,0.012177333,0.002331204,-0.533617181,-1.242522132,-0.612002665,-0.910889061,0.340770858,0.985547829,0.002302881,0.01214929,0,0
Circus pygargus,0.834737917,1,1,1,0.996003996,1,0.997002997,0.997002997,0.997002997,0.000999001,0.002997003,0.002997003,0.001998002,0.001998002,0.002997003,0.002997003,0.005994006,0.997216398,0.002783602,0.013952233,0.997216398,0.002783602,0.013952233,-0.732749073,-0.017531917,-0.765220546,-0.727532533,0.71074276,0.983341193,0.013913935,0.002744871,0,0
Coccothraustes coccothraustes,0.803763154,1,1,1,1,0.999000999,1,1,1,0.006993007,0.002997003,0.002997003,0.002997003,0.004995005,0.000999001,0.000999001,0.003996004,0.988876676,0.011123324,0.003932694,0.988930514,0.011069486,0.003932694,-0.385429816,-0.848154873,-0.485393756,-0.627823953,0.241947316,0.985030816,0.00388912,0.011025835,4.34E-19,5.42E-05
Columba livia,0.831957536,0.998001998,0.997002997,0.997002997,0.997002997,0.999000999,1,1,0.994005994,0.006993007,0.006993007,0.006993007,0.006993007,0.005994006,0.001998002,0.001998002,0.006993007,0.998747357,0.001252643,0.006560969,0.998846573,0.001153427,0.006214435,-0.197268302,-0.630267916,-0.479491308,-0.352764202,0.395800628,0.992202761,0.006204537,0.001145755,0.000348267,9.87E-05
Columba oenas,0.826939742,1,0.987012987,0.987012987,0.999000999,1,0.988011988,0.988011988,1,0.002997003,0.012987013,0.012987013,0.003996004,0.001998002,0.013986014,0.013986014,0.004995005,0.998591642,0.001408358,0.016079454,0.998591642,0.001408358,0.016079454,-0.13350375,-0.737010327,-0.328206101,-0.645241455,0.215245281,0.982557084,0.016057172,0.001385744,0,0
