"species","stability","niche_breadth_zcor","niche_breadth_Z"
"Acanthis flammea",0.36697812708126,8.94337554111312,7.89389091535186
"Accipiter brevipes",0.403671664216246,8.84231554684186,8.27985574174511
"Accipiter gentilis",0.454489745317283,8.48218758221742,7.58664220390845
"Accipiter nisus",0.480222991364009,8.63586472113373,7.69311721514578
"Acrocephalus agricola",0.0493943705791671,8.38571682862785,7.62691582412772
"Acrocephalus arundinaceus",0.618569224057945,8.68321597524069,7.91396534949355
"Acrocephalus dumetorum",0.343154476170259,7.70751219460034,6.8886254013338
"Acrocephalus melanopogon",0.431041633672754,8.91085558740525,8.39654957898771
"Acrocephalus paludicola",0.93087207032538,8.77121506237538,8.54689652371799
"Acrocephalus palustris",0.838022001728719,8.72176535714501,7.94864847461642
"Acrocephalus schoenobaenus",0.675276339777947,8.76201995356159,8.07878486654331
"Acrocephalus scirpaceus",0.523288661116388,8.62119278143472,7.81669726316166
"Actitis hypoleucos",0.421112956098137,8.45914025996762,7.73013671740262
"Aegithalos caudatus",0.535375592744181,8.43272403478979,7.65813831630984
"Aegolius funereus",0.363440798160976,8.39728289474368,7.34378808573399
"Aegypius monachus",0.0852376717531467,8.73841489716775,8.05518821294314
"Aix galericulata",0.178212321300181,8.81596356085344,8.06899320343041
"Alauda arvensis",0.502519408343743,8.61250337122056,7.76131862542374
"Alcedo atthis",0.368152458312298,8.50895938648913,7.75043138576096
"Alectoris chukar",0.073136796599159,8.58951385299586,7.70687007843386
"Alectoris graeca",0.861669545458874,8.83156587912106,8.1983784814948
"Alectoris rufa",0.991589857484489,8.88834286910928,8.42078803651065
"Alopochen aegyptiaca",0.0857970242192679,8.46463594067756,7.64963928742358
"Anas acuta",0.362751809702716,8.13798045445214,7.14818246983103
"Anas crecca",0.465604214004047,8.39638057119949,7.60332476369101
"Anser anser",0.379967828870547,8.60977237270933,7.79318983780989
"Anser brachyrhynchus",0.52982322557266,8.75746914147075,8.47526620135485
"Anser fabalis",0.101138376830361,8.65678120562329,8.05831347698128
"Anthus campestris",0.52279874329364,8.99764207852351,8.36392520293573
"Anthus cervinus",0.172709378695455,8.88253050843362,8.23885786617405
"Anthus petrosus",0.978217333448653,8.93274063486591,8.57645617538236
"Anthus pratensis",0.862475875102008,8.80372460211062,7.81583685655028
"Anthus spinoletta",0.324188627048858,8.93141980519297,8.54895244668178
"Anthus trivialis",0.583662128078549,8.50228257868048,7.65391728801085
"Apus apus",0.537592402396177,8.74337213127397,8.06071464688018
"Apus pallidus",0.654774086618128,8.8309815109525,8.33005383867823
"Aquila adalberti",0.957095842697428,8.96226355411676,8.63869773038556
"Aquila chrysaetos",0.541450123832634,8.61703852638595,7.69527294012836
"Aquila fasciata",0.284870493132916,8.89508153175417,8.29125708806229
"Aquila heliaca",0.115351093492255,8.83010431791379,8.15035753549164
"Ardea alba",0.16253982824598,8.2451219664786,7.19531374139264
"Ardea cinerea",0.225803140322154,8.66025403425689,7.88003053931808
"Ardea purpurea",0.174728219521803,8.55487425838393,7.70286034339663
"Ardeola ralloides",0.134659480107664,8.6919864817894,7.68803740183739
"Arenaria interpres",0.324269889388797,8.55852705490921,7.39198077043953
"Asio flammeus",0.433436132624989,8.30028018985266,7.09205990060575
"Asio otus",0.461867356994755,8.48570252432487,7.73668861957114
"Athene noctua",0.335552169056659,8.44526745184465,7.64467222935408
"Aythya ferina",0.366342140050314,8.58447793822183,7.8423829466165
"Aythya fuligula",0.404834711088863,8.47720418319987,7.72053648049593
"Aythya marila",0.440953676375025,8.54325072573553,7.70836264157279
"Aythya nyroca",0.415216105393915,8.99143781491923,8.33127633293895
"Bombycilla garrulus",0.279125339407919,7.97487690055888,7.03818147013953
"Botaurus stellaris",0.271232201886264,8.88239170629585,8.14156588298836
"Branta canadensis",0.485212722687009,8.61031916940572,7.7516668459325
"Branta leucopsis",0.695252346328381,8.52158353971753,8.18011341026926
"Bubo bubo",0.372413956309163,8.48755838628655,7.7766600385321
"Bubo scandiacus",0.085612743619973,8.7721454392451,8.13554233665915
"Bubulcus ibis",0.209844456436802,8.47741232140439,7.47495165386746
"Bucephala clangula",0.321367906762302,8.09925056179696,7.05930770307245
"Burhinus oedicnemus",0.461518964520723,9.00761200540457,8.36707712887975
"Buteo buteo",0.721339104805555,8.65014941866486,7.79961903313232
"Buteo lagopus",0.281087235749244,8.72502003861855,8.16115041360807
"Buteo rufinus",0.290362020437301,8.73149779406324,7.97531312298839
"Calandrella brachydactyla",0.435108536678801,8.86319134069085,8.0866585355364
"Calcarius lapponicus",0.252073205076266,8.83869681234353,8.06904105383929
"Calidris alpina",0.446056213819058,8.82834762005316,8.03042239115668
"Calidris maritima",0.43070173481821,8.91891797990868,8.36070838608393
"Calidris temminckii",0.260971038220605,8.72631895096224,8.16660475876387
"Caprimulgus europaeus",0.485267664298871,8.88058552310249,8.31805974914618
"Caprimulgus ruficollis",0.842834761077663,8.8246778911642,8.40342672356924
"Carduelis carduelis",0.75897570547894,8.73552518573323,8.05276932588528
"Carduelis citrinella",0.99706139183306,8.61377528926248,8.394893439372
"Carpodacus erythrinus",0.302318902300717,8.56845648535378,7.44475439268929
"Cecropis daurica",0.234830381835995,8.70913499158718,8.04915410843973
"Certhia brachydactyla",0.966375778002529,8.97613587330255,8.31142666293632
"Certhia familiaris",0.485570448123224,8.65591111072806,7.88402139289535
"Cettia cetti",0.621436662504715,8.96788657212747,8.36359895746824
"Charadrius alexandrinus",0.271299555684972,8.96750418731624,8.23594559653101
"Charadrius dubius",0.355470035470547,7.90912218321141,6.93562916171312
