"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","nS_NA","nE_NA","nU_NA","nS_A","nE_A","nU_A","n_centroid_hist_X","n_centroid_hist_Y","n_centroid_rec_X","n_centroid_rec_Y","n_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Acrocephalus arundinaceus",0.889544732164071,0.998001998001998,0.996003996003996,0.996003996003996,1,1,0.999000999000999,0.999000999000999,1,0.003996003996004,0.003996003996004,0.003996003996004,0.000999000999000999,0.001998001998002,0.003996003996004,0.003996003996004,0.001998001998002,0.997875493866791,0.00212450613320915,0.00192761172039928,0.997875493866791,0.00212450613320915,0.00192761172039928,-0.0236755302788279,0.823267231849945,-0.140219845609078,0.854312859649858,0.120608492409479,0.995956056031384,0.00192352437473796,0.00212041959387764,0,0
"Acrocephalus paludicola",0.555677001850769,0.999000999000999,1,1,0.993006993006993,0.996003996003996,1,1,0.987012987012987,0.00999000999000999,0.016983016983017,0.016983016983017,0.010989010989011,0.00799200799200799,0.020979020979021,0.020979020979021,0.014985014985015,1,0,0.325321145824814,1,0,0.325321145824814,1.33128561849232,0.571720715343448,1.71232961323498,0.767537066348061,0.428414016169184,0.674678854175186,0.325321145824814,0,0,0
"Acrocephalus palustris",0.914328285238566,1,0.996003996003996,0.996003996003996,0.994005994005994,1,0.998001998001998,0.998001998001998,0.996003996003996,0.003996003996004,0.003996003996004,0.003996003996004,0.00999000999000999,0.000999000999000999,0.003996003996004,0.003996003996004,0.002997002997003,0.995468815119418,0.00453118488058164,0.00456969409802031,0.995549893563056,0.00445010643694412,0.00456969409802031,-0.0213847779274759,1.02559994192573,-0.0673463327889013,1.0213065254829,0.0461616502091437,0.990940345688641,0.00454908216309569,0.00442950176529484,8.67361737988404e-19,8.10703829688553e-05
"Acrocephalus schoenobaenus",0.922926135571532,1,0.996003996003996,0.996003996003996,0.999000999000999,1,1,1,1,0.001998001998002,0.00599400599400599,0.00599400599400599,0.001998001998002,0.002997002997003,0.010989010989011,0.010989010989011,0.001998001998002,0.999810500562635,0.000189499437365178,0.00896888414523491,0.999810500562635,0.000189499437365178,0.00889375407892123,0.157586524431354,1.13409096004395,0.189800748433144,1.18116542839683,0.0570417548708295,0.990845000054574,0.00889140977274781,0.000187800158050729,7.57900146270887e-05,0
"Acrocephalus scirpaceus",0.925629008280855,1,1,1,1,1,1,1,1,0.002997002997003,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.997498348351519,0.00250165164848056,0.000611689716676446,0.997498348351519,0.00250165164848056,0.000611689716676446,-0.0391351885248064,0.372559364621235,-0.0661430150326706,0.437647245244439,0.070468822160579,0.996889714344553,0.000610160415776936,0.00250012523967059,0,0
"Aegithalos caudatus",0.94413347052345,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.998336622002769,0.00166337799723097,0.000390775508087969,0.998336622002769,0.00166337799723097,0.000390775508087969,-0.180411372739634,0.204966943125578,-0.176265440648836,0.320045131959037,0.115152847546602,0.997947145175074,0.000390125754290579,0.00166272907063513,0,0
"Alectoris graeca",0.915070029455606,1,0.64035964035964,0.64035964035964,1,1,0.684315684315684,0.684315684315684,1,0.001998001998002,0.34965034965035,0.34965034965035,0.001998001998002,0.000999000999000999,0.334665334665335,0.334665334665335,0.000999000999000999,0.998668586361757,0.00133141363824321,0.000506869845650643,0.998805728810921,0.00119427118907881,0.000439836352622869,-0.887605081945042,1.10841935139047,-1.3453831640126,1.39807530485157,0.541720724909904,0.998163064983295,0.000439221587446131,0.00119350275646829,6.69737463868535e-05,0.000137236926403841
"Alectoris rufa",0.897508396903568,1,0.986013986013986,0.986013986013986,1,0.999000999000999,1,1,0.999000999000999,0.001998001998002,0.018981018981019,0.018981018981019,0.001998001998002,0.002997002997003,0.000999000999000999,0.000999000999000999,0.002997002997003,0.993169155926369,0.00683084407363125,0.00283516793583633,0.995255374846235,0.0047446251537646,0.00283516793583633,0.418164359690498,-0.410549104412499,0.292166899093086,-0.429504623433676,0.127415351423439,0.990372534719543,0.00281585587927064,0.00472134746376419,0,0.00209026193742195
"Anser brachyrhynchus",0.667006440944158,1,0.999000999000999,0.999000999000999,1,1,0.999000999000999,0.999000999000999,1,0.002997002997003,0.00599400599400599,0.00599400599400599,0.001998001998002,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.939477474538672,0.0605225254613279,0.00351561920451923,0.941201639291185,0.0587983607088153,0,1.0801039167774,-1.52136619891415,1.00859994253069,-1.52945043840052,0.0719595251592685,0.936373865642954,0,0.0584967620241774,0.00330354796132015,0.00182582437154875
"Anthus campestris",0.890369925361376,0.998001998001998,0.998001998001998,0.998001998001998,1,0.999000999000999,0.998001998001998,0.998001998001998,1,0.004995004995005,0.00699300699300699,0.00699300699300699,0.001998001998002,0.003996003996004,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.997108970343401,0.00289102965659932,0.00289931982768993,0.997108970343401,0.00289102965659932,0.00289931982768993,-0.218180891721516,-0.571517301574243,0.065289357797275,-0.836229693831882,0.387850529169431,0.99422636616021,0.00289096204018461,0.00288267179960504,0,0
