species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_cells_hist,n_cells_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Sylvia conspicillata,3696727.43,1993434.989,3631575.267,2022342.408,71277.22813,28907.419,-65152.16326,-71.52136489,191,209,0.933331454,1,0.889110889,0.889110889,1,1,0.865134865,0.865134865,1,0.001998002,0.104895105,0.104895105,0.001998002,0.000999001,0.104895105,0.104895105,0.000999001,0.976117681,0.023882319,0,0.976117681,0.023882319,0,0.976117681,0,0.023882319
Sylvia hortensis,3564258.372,2151750.068,3420823.548,2110268.989,149312.5204,-41481.07949,-143434.8242,-113.172402,243,192,0.843064994,1,0.986013986,0.986013986,1,1,0.985014985,0.985014985,1,0.001998002,0.015984016,0.015984016,0.001998002,0.000999001,0.013986014,0.013986014,0.000999001,0.999112612,0.000887388,0.030445155,0.999112612,0.000887388,0.030445155,0.968720646,0.03041896,0.000860394
Sylvia melanocephala,4144452.257,2034594.358,4090991.699,2062391.151,60255.23196,27796.79313,-53460.55808,-63.95062346,398,436,0.922234234,1,0.844155844,0.844155844,1,1,0.816183816,0.816183816,1,0.000999001,0.183816184,0.183816184,0.000999001,0.000999001,0.185814186,0.185814186,0.000999001,0.972029099,0.027970901,0,0.972029099,0.027970901,0,0.972029099,0,0.027970901
Sylvia undata,3510604.441,2236578.32,3498099.851,2275315.532,40705.48326,38737.21214,-12504.58967,-24.97045408,371,373,0.934337127,1,0.881118881,0.881118881,1,1,0.884115884,0.884115884,1,0.000999001,0.114885115,0.114885115,0.000999001,0.000999001,0.117882118,0.117882118,0.000999001,0.95313675,0.04686325,0.000612839,0.95313675,0.04686325,0.000612839,0.952579988,0.000584136,0.046835876
Tetrao urogallus,4737082.753,3839585.378,4778924.506,3885462.073,62091.8952,45876.69519,41841.75292,47.99201874,687,605,0.941280333,1,0.996003996,0.996003996,1,1,0.998001998,0.998001998,1,0.000999001,0.003996004,0.003996004,0.000999001,0.000999001,0.006993007,0.006993007,0.000999001,0.996097609,0.003902391,0.005777462,0.996097609,0.003902391,0.005777462,0.990365021,0.005755046,0.003879933
Tringa totanus,4643414.673,3585344.823,4637718.441,3666646.311,81500.79185,81301.48837,-5696.23207,0.136783898,1153,1118,0.93454857,1,0.721278721,0.721278721,1,1,0.709290709,0.709290709,1,0.000999001,0.290709291,0.290709291,0.000999001,0.000999001,0.305694306,0.305694306,0.000999001,0.998125456,0.001874544,0.000250526,0.998125456,0.001874544,0.000250526,0.997875869,0.000250056,0.001874075
Troglodytes troglodytes,4440223.337,3135938.148,4419482.617,3170384.403,40208.48129,34446.25511,-20740.72024,-29.71483585,1972,1960,0.980021555,1,0.853146853,0.853146853,1,1,0.844155844,0.844155844,1,0.000999001,0.137862138,0.137862138,0.000999001,0.000999001,0.12987013,0.12987013,0.000999001,0.999734053,0.000265947,0.000448755,0.999734053,0.000265947,0.000448755,0.999285536,0.000448636,0.000265828
Turdus iliacus,4752027.894,4185946.93,4695477.535,4330734.813,155439.6155,144787.8827,-56550.35865,-14.51648427,710,610,0.893105461,1,1,1,1,1,1,1,1,0.000999001,0.182817183,0.182817183,0.000999001,0.000999001,0.152847153,0.152847153,0.000999001,1,0,0.034142291,1,0,0.034142291,0.965857709,0.034142291,0
Turdus philomelos,4560597.1,3311699.086,4531197.996,3271374.985,49903.31075,-40324.10126,-29399.10342,-141.0816358,1844,1912,0.966181906,1,0.716283716,0.716283716,1,1,0.739260739,0.739260739,1,0.000999001,0.274725275,0.274725275,0.000999001,0.000999001,0.280719281,0.280719281,0.000999001,0.993320628,0.006679372,0,0.993320628,0.006679372,0,0.993320628,0,0.006679372
Turdus torquatus,4365449.91,3380810.158,4374168.062,3430420.56,50370.60842,49610.40229,8718.152187,10.5007619,451,419,0.940804852,1,0.997002997,0.997002997,1,1,0.996003996,0.996003996,1,0.001998002,0.005994006,0.005994006,0.001998002,0.000999001,0.006993007,0.006993007,0.000999001,0.999721269,0.000278731,0.010811383,0.999721269,0.000278731,0.010811383,0.98891588,0.010808402,0.000275718
Turdus viscivorus,4405244.821,3138514.969,4432694.043,3187400.337,56064.59641,48885.36813,27449.22136,30.26442403,1730,1845,0.955243247,1,1,1,1,1,1,1,1,0.002997003,0.313686314,0.313686314,0.002997003,0.000999001,0.281718282,0.281718282,0.000999001,1,0,0.002320919,1,0,0.002314511,0.997679081,0.002320919,0
Vanellus vanellus,4600914.455,3409094.661,4603608.471,3367491.123,41690.67088,-41603.53736,2694.01513,179.6868978,1653,1600,0.970930776,1,0.823176823,0.823176823,1,1,0.813186813,0.813186813,1,0.000999001,0.18981019,0.18981019,0.000999001,0.000999001,0.217782218,0.217782218,0.000999001,0.999729074,0.000270926,0.000416053,0.999729074,0.000270926,0.000416053,0.999313246,0.00041594,0.000270813
