"species","stability"
"Limosa lapponica",0.19700628577653
"Limosa limosa",0.472401014405592
"Linaria cannabina",0.807038607606859
"Linaria flavirostris",0.135643533267127
"Locustella fluviatilis",0.69724361017271
"Locustella luscinioides",0.657424374847178
"Locustella naevia",0.647645696051113
"Lophophanes cristatus",0.947349348076246
"Loxia curvirostra",0.483399926459228
"Loxia leucoptera",0.235489506555531
"Loxia pytyopsittacus",0.906953178966245
"Lullula arborea",0.91535226028135
"Luscinia luscinia",0.563505084301701
"Luscinia megarhynchos",0.680653302701961
"Lymnocryptes minimus",0.348413250681831
"Lyrurus tetrix",0.412035244061116
"Melanitta fusca",0.410467647244353
"Melanitta nigra",0.501986117546702
"Melanocorypha calandra",0.622464686786259
"Mergellus albellus",0.215155024391399
"Mergus merganser",0.400062988886211
"Mergus serrator",0.39050215340658
"Merops apiaster",0.536848672653276
"Milvus migrans",0.327565622551393
"Milvus milvus",0.983712932380368
"Monticola saxatilis",0.32719529152887
"Monticola solitarius",0.527051292396088
"Montifringilla nivalis",0.140761399791225
"Motacilla cinerea",0.403148981403672
"Motacilla citreola",0.092099376324291
"Motacilla flava",0.566214082986081
"Netta rufina",0.228018894211686
"Nucifraga caryocatactes",0.332743705862466
"Numenius arquata",0.533802521404812
"Numenius phaeopus",0.647728089442648
"Nycticorax nycticorax",0.255462086017883
"Oenanthe hispanica",0.827911606120885
"Oenanthe isabellina",0.142199464751634
"Oenanthe leucura",0.538700978060642
"Oenanthe oenanthe",0.438762929274976
"Oenanthe pleschanka",0.0541523938516692
"Oriolus oriolus",0.649528100108663
"Otis tarda",0.175838479512621
"Otus scops",0.638926599744718
"Oxyura jamaicensis",0.0419908550270413
"Oxyura leucocephala",0.0778540069078839
"Pandion haliaetus",0.388872286830442
"Panurus biarmicus",0.220605260567009
"Passer domesticus",0.40418340746493
"Passer hispaniolensis",0.570481216214628
"Passer italiae",1
"Passer montanus",0.390385634419813
"Perdix perdix",0.556852085259414
"Periparus ater",0.5259094339913
"Perisoreus infaustus",0.271638485981374
"Pernis apivorus",0.750048826394224
"Petronia petronia",0.302290787169931
"Phalacrocorax carbo",0.290178424903629
"Phalaropus lobatus",0.383300903204721
"Phasianus colchicus",0.633962074721725
"Phoenicurus ochruros",0.459100455852233
"Phoenicurus phoenicurus",0.651536236185105
"Phylloscopus bonelli",0.948360493264238
"Phylloscopus borealis",0.0846567149977648
"Phylloscopus trochiloides",0.27989569052504
"Phylloscopus trochilus",0.520492489340381
"Pica pica",0.480364622602048
"Picoides tridactylus",0.358930244971278
"Picus canus",0.47066484877101
"Pinicola enucleator",0.136900082221618
"Platalea leucorodia",0.170683836226468
"Plectrophenax nivalis",0.315862785477906
"Plegadis falcinellus",0.147279899917312
"Pluvialis apricaria",0.755654711266453
"Podiceps auritus",0.309001578151367
"Podiceps cristatus",0.453548912807446
"Podiceps grisegena",0.255190518642307
"Podiceps nigricollis",0.464003325056221
"Poecile cinctus",0.168125893491464
"Poecile lugubris",0.732801082617265
"Poecile montanus",0.454858117973833
"Poecile palustris",0.587282132699316
"Porphyrio porphyrio",0.125714030136101
"Porzana porzana",0.504659813955342
"Prunella collaris",0.19227611866412
"Prunella modularis",0.933733679903469
"Psittacula krameri",0.135539044394769
"Pterocles alchata",0.189545565942309
"Pterocles orientalis",0.183989563938038
"Ptyonoprogne rupestris",0.436409925638841
"Pyrrhocorax graculus",0.283592112271925
"Pyrrhocorax pyrrhocorax",0.252952048529111
"Pyrrhula pyrrhula",0.47015636802352
"Rallus aquaticus",0.566373760134619
"Recurvirostra avosetta",0.210497752244055
"Regulus ignicapilla",0.991718790901846
"Regulus regulus",0.610535244198048
"Remiz pendulinus",0.577358934958262
"Riparia riparia",0.433628690673509
"Saxicola rubetra",0.784179783331586
"Saxicola torquatus",0.310269426563866
"Scolopax rusticola",0.465618620922369
"Serinus serinus",0.935454239254731
"Sitta europaea",0.500464251636742
"Sitta neumayer",0.639593873378795
"Somateria mollissima",0.701760582729926
"Spinus spinus",0.611548552617896
"Stercorarius longicaudus",0.175360351964235
"Stercorarius parasiticus",0.320604018637134
"Sterna hirundo",0.381262223807104
"Sterna paradisaea",0.423822987785133
"Sternula albifrons",0.376098272550086
"Streptopelia decaocto",0.524825685004874
"Streptopelia turtur",0.473947334871057
"Strix aluco",0.774697719570015
"Strix nebulosa",0.143650759959812
"Strix uralensis",0.257633058858949
"Sturnus unicolor",0.959837834747193
"Sturnus vulgaris",0.560822222699392
"Surnia ulula",0.394704072253515
"Sylvia atricapilla",0.882453854925786
"Sylvia borin",0.793009954201109
"Sylvia communis",0.664505377308005
"Sylvia conspicillata",0.788134476409733
"Sylvia curruca",0.394084096760441
"Sylvia hortensis",0.845208062601774
"Sylvia melanocephala",0.917208210806077
"Sylvia nisoria",0.389900812399087
"Sylvia ruppeli",0.343784123011959
"Sylvia undata",0.981721025279388
"Syrmaticus reevesii",0.167238181651867
"Tachybaptus ruficollis",0.291929707046739
"Tadorna ferruginea",0.17864676502827
"Tadorna tadorna",0.444780995569172
"Tetrao urogallus",0.533155825555117
"Tetrax tetrax",0.227019351137248
"Thalasseus sandvicensis",0.264807518946681
"Tichodroma muraria",0.176008031833417
"Tringa erythropus",0.153224184165954
"Tringa glareola",0.392946483548561
"Tringa nebularia",0.453513456952266
"Tringa ochropus",0.322836041947347
"Tringa stagnatilis",0.0609774529704448
"Tringa totanus",0.498150631980757
"Troglodytes troglodytes",0.674295920374764
"Turdus iliacus",0.601984353552033
"Turdus philomelos",0.69163396227454
"Turdus pilaris",0.484243223599774
"Turdus torquatus",0.899483526925377
"Turdus viscivorus",0.669479595561142
"Tyto alba",0.273294576290798
"Upupa epops",0.265724301378555
"Vanellus vanellus",0.505074477974748
