"species","PCA_percent"
"Gallinula_chloropus",0.706503080872616
"Garrulus_glandarius",0.659184926001108
"Gavia_arctica",0.670145343440437
"Gavia_immer",0.723163706925761
"Gavia_stellata",0.759059873726243
"Glareola_pratincola",0.717664819196444
"Glaucidium_passerinum",0.749559925638801
"Grus_grus",0.739681994586392
"Gypaetus_barbatus",0.65817082850199
"Gyps_fulvus",0.701315301048817
"Haematopus_ostralegus",0.739740823980421
"Haliaeetus_albicilla",0.71484789839849
"Hieraaetus_pennatus",0.661422755813277
"Himantopus_himantopus",0.698235597112171
"Hippolais_icterina",0.710334852212934
"Hippolais_olivetorum",0.686457405221649
"Hippolais_polyglotta",0.744244267139914
"Histrionicus_histrionicus",0.689499927474634
"Hydroprogne_caspia",0.712114160945597
"Iduna_pallida",0.694861391589398
"Ixobrychus_minutus",0.732151176571802
"Jynx_torquilla",0.698453529829273
"Lagopus_lagopus",0.713012688036647
"Lagopus_muta",0.758836119995183
"Lanius_collurio",0.67416863346618
"Lanius_minor",0.713870064569498
"Lanius_nubicus",0.674617362683793
"Lanius_senator",0.689012127542616
"Larus_ridibundus",0.756713622933603
"Limosa_lapponica",0.732878290659115
"Limosa_limosa",0.751856213414626
"Linaria_cannabina",0.679285477304859
"Linaria_flavirostris",0.742954449296651
"Locustella_fluviatilis",0.682116373044045
"Locustella_luscinioides",0.722676193344553
"Locustella_naevia",0.734444941001161
"Lophophanes_cristatus",0.711328438515748
"Loxia_curvirostra",0.662238466150444
"Loxia_leucoptera",0.723531620460041
"Loxia_pytyopsittacus",0.749856569737275
"Lullula_arborea",0.669912374774538
"Luscinia_luscinia",0.721261019578763
"Luscinia_megarhynchos",0.657503092658104
"Lymnocryptes_minimus",0.792177158996101
"Lyrurus_tetrix",0.744738868312587
"Melanitta_fusca",0.718865536974167
"Melanitta_nigra",0.770119768640361
"Melanocorypha_calandra",0.684641813097986
"Mergellus_albellus",0.709177491169241
"Mergus_merganser",0.695271457772677
"Mergus_serrator",0.708931744537125
"Merops_apiaster",0.67356495086897
"Milvus_migrans",0.6901652821885
"Milvus_milvus",0.684430211979656
"Monticola_saxatilis",0.74701997471549
"Monticola_solitarius",0.673870859499583
"Montifringilla_nivalis",0.741090631447146
"Motacilla_cinerea",0.670796620146139
"Motacilla_citreola",0.581262963002805
"Motacilla_flava",0.721593022899506
"Netta_rufina",0.716305433434681
"Nucifraga_caryocatactes",0.677587515011906
"Numenius_arquata",0.769258980257231
"Numenius_phaeopus",0.756106830189518
"Nycticorax_nycticorax",0.688361240481247
"Oenanthe_hispanica",0.673822626032183
"Oenanthe_isabellina",0.675868187418901
"Oenanthe_leucura",0.719205822539296
"Oenanthe_oenanthe",0.721868125046318
"Oenanthe_pleschanka",0.638258555628622
"Oriolus_oriolus",0.67868711177294
"Otis_tarda",0.680341394478807
"Otus_scops",0.660264978976944
"Oxyura_jamaicensis",0.695497178174415
"Oxyura_leucocephala",0.70082909268934
"Pandion_haliaetus",0.755864324433353
"Panurus_biarmicus",0.717773274240802
"Passer_domesticus",0.696292960745616
"Passer_hispaniolensis",0.672142898566398
"Passer_italiae",0.835429883969306
"Passer_montanus",0.695690409551475
"Perdix_perdix",0.66560902325916
"Periparus_ater",0.639088203556762
"Perisoreus_infaustus",0.679182340601211
"Pernis_apivorus",0.671751075689737
"Petronia_petronia",0.708334297817531
"Phalacrocorax_carbo",0.693546478396949
"Phalaropus_lobatus",0.748841522181925
"Phasianus_colchicus",0.597767026834907
"Phoenicurus_ochruros",0.672902420398424
"Phoenicurus_phoenicurus",0.721189729985472
"Phylloscopus_bonelli",0.74939655332359
"Phylloscopus_borealis",0.659314941625638
"Phylloscopus_trochiloides",0.679273626237831
"Phylloscopus_trochilus",0.782402230402834
"Pica_pica",0.631343575620007
"Picoides_tridactylus",0.730334930437679
"Picus_canus",0.685836583870892
"Pinicola_enucleator",0.728779642887116
"Platalea_leucorodia",0.649846584236597
"Plectrophenax_nivalis",0.775595729743723
"Plegadis_falcinellus",0.676546384149102
"Pluvialis_apricaria",0.751368534289575
"Podiceps_auritus",0.723664971150652
"Podiceps_cristatus",0.671675125310863
"Podiceps_grisegena",0.73987912612374
"Podiceps_nigricollis",0.667087067352479
"Poecile_cinctus",0.661893863153916
"Poecile_lugubris",0.677871343366191
"Poecile_montanus",0.693087140000129
"Poecile_palustris",0.694438290943715
"Porphyrio_porphyrio",0.683897539953486
"Porzana_porzana",0.720507492673809
"Prunella_collaris",0.643921144835581
"Prunella_modularis",0.706632761279346
"Psittacula_krameri",0.647686169942802
"Pterocles_alchata",0.678676244553509
"Pterocles_orientalis",0.68386227780065
"Ptyonoprogne_rupestris",0.647605964166465
"Pyrrhocorax_graculus",0.673879935592167
"Pyrrhocorax_pyrrhocorax",0.659293735786691
"Pyrrhula_pyrrhula",0.740132863524641
"Rallus_aquaticus",0.663013742017935
"Recurvirostra_avosetta",0.666643894467714
"Regulus_ignicapilla",0.653575820274205
"Regulus_regulus",0.614754609913655
"Remiz_pendulinus",0.691244257986313
"Riparia_riparia",0.723474154777175
"Saxicola_rubetra",0.718847192560214
"Saxicola_torquatus",0.6541188305057
"Scolopax_rusticola",0.695397257353191
"Serinus_serinus",0.689436395463497
"Sitta_europaea",0.652749706307641
"Sitta_neumayer",0.701876023747642
"Somateria_mollissima",0.741095156488068
"Spinus_spinus",0.762586548254604
"Stercorarius_longicaudus",0.745234073662064
"Stercorarius_parasiticus",0.742179138389726
"Sterna_hirundo",0.64482216755067
"Sterna_paradisaea",0.752204503139855
"Sternula_albifrons",0.733812060451692
"Streptopelia_decaocto",0.658931551539534
"Streptopelia_turtur",0.727985007945615
"Strix_aluco",0.689941898225307
"Strix_nebulosa",0.714007494419421
"Strix_uralensis",0.685068206069415
"Sturnus_unicolor",0.76529419379707
"Sturnus_vulgaris",0.711067422251486
"Surnia_ulula",0.73206535234522
"Sylvia_atricapilla",0.703015793486684
"Sylvia_borin",0.72105539067473
"Sylvia_communis",0.693453162493736
"Sylvia_conspicillata",0.740798757701284
"Sylvia_curruca",0.717631220684642
"Sylvia_hortensis",0.769562825638126
"Sylvia_melanocephala",0.732098861355463
"Sylvia_nisoria",0.691517871018674
