species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Phylloscopus bonelli,0.957421644,1,0.998001998,0.998001998,1,1,1,1,1,0.001998002,0.002997003,0.002997003,0.001998002,0.002997003,0.005994006,0.005994006,0.002997003,0.996121444,0.003878556,0.002068278,0.99645705,0.00354295,0.002068278,-0.42177346,-0.340296617,-0.206038972,-0.312803343,0.217479308,0.994069162,0.002060272,0.00353446,0,0.000336106
Phylloscopus trochilus,0.966436531,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.001998002,0.001998002,0.000999001,1,0,0.002978143,1,0,0.002759829,0.101850802,0.866458245,0.119626868,0.83410242,0.036917312,0.997021857,0.002759225,0,0.000218918,0
Pluvialis apricaria,0.950849812,1,1,1,1,1,1,1,1,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.001998002,0.999548334,0.000451666,0.002248104,0.999548334,0.000451666,0.002248104,0.931313516,1.33383315,1.090317376,1.454527783,0.1996232,0.997302258,0.002247091,0.000450651,0,0
Poecile lugubris,0.895766511,1,0.999000999,0.999000999,1,0.999000999,1,1,1,0.004995005,0.002997003,0.002997003,0.001998002,0.007992008,0.002997003,0.002997003,0.001998002,0.998468037,0.001531963,0.010950005,0.998468037,0.001531963,0.010950005,0.393360463,-0.679956292,0.393360463,-0.637314848,0.042641444,0.987551374,0.010933413,0.001515213,0,0
Poecile palustris,0.93916045,1,0.997002997,0.997002997,1,1,0.997002997,0.997002997,1,0.002997003,0.003996004,0.003996004,0.002997003,0.002997003,0.002997003,0.002997003,0.002997003,0.999225596,0.000774404,0.003998531,0.999225596,0.000774404,0.003998531,-0.19438711,0.595681826,-0.189805298,0.558243056,0.037718092,0.995233244,0.003995447,0.000771309,0,0
Porzana porzana,0.805308773,0.997002997,0.988011988,0.988011988,0.954045954,0.998001998,0.994005994,0.994005994,0.959040959,0.004995005,0.006993007,0.006993007,0.043956044,0.004995005,0.013986014,0.013986014,0.03996004,0.99153219,0.00846781,0.025686506,0.99153219,0.00846781,0.025634672,-0.095779447,1.398528532,0.235967621,1.526446513,0.355554675,0.966273365,0.025421779,0.008252096,5.28E-05,0
Prunella modularis,0.971365283,1,1,1,1,1,1,1,1,0.001998002,0.001998002,0.001998002,0.001998002,0.002997003,0.000999001,0.000999001,0.002997003,0.999776478,0.000223522,0.001669052,0.999784229,0.000215771,0.001669052,0.581492034,0.465002721,0.730264892,0.39202304,0.165708772,0.998108171,0.00166868,0.000215409,0,7.74E-06
Rallus aquaticus,0.89007892,0.993006993,0.956043956,0.956043956,0.998001998,0.994005994,0.961038961,0.961038961,0.999000999,0.006993007,0.03996004,0.03996004,0.001998002,0.001998002,0.033966034,0.033966034,0.000999001,0.997185998,0.002814002,0.000857888,0.997185998,0.002814002,0.000857888,0.005190698,0.310109572,-0.221560789,0.515058159,0.305647117,0.99633293,0.000855476,0.002811594,0,0
Regulus ignicapilla,0.894573233,0.997002997,1,1,1,0.996003996,0.998001998,0.998001998,1,0.001998002,0.001998002,0.001998002,0.001998002,0.003996004,0.000999001,0.000999001,0.001998002,0.995772245,0.004227755,0.000130531,0.995817562,0.004182438,0.000130531,-0.397927027,-0.438048225,-0.440818589,-0.07111489,0.36943167,0.995642816,0.000129979,0.004181705,2.71E-20,4.55E-05
Regulus regulus,0.938322503,1,0.998001998,0.998001998,1,1,1,1,1,0.000999001,0.002997003,0.002997003,0.000999001,0.001998002,0.000999001,0.000999001,0.001998002,0.999088824,0.000911176,0.001127733,0.999664732,0.000335268,0.001127733,-0.617422156,0.511597081,-0.622493763,0.546099462,0.034873134,0.997963145,0.001126706,0.000334697,0,0.000575452
